Actual,Predicted
38.1461,38.889634106501745
36.1317,37.421303550505826
38.7698,38.56119672814695
34.1269,37.14522848745962
38.64,38.644014625726925
39.6405,40.80262153298398
37.9016,38.980015635088336
40.7345,40.806165318767924
41.6784,41.02214424225356
39.2692,41.03634419361606
36.1808,37.684544525190915
38.9923,38.3604900890883
39.0414,37.89772631578721
41.3917,40.132226706117365
40.8076,40.879068504112254
40.0376,39.88280040275353
40.5747,40.18886438191589
36.702,37.598975166562425
39.5936,40.90418506452505
40.669000000000004,40.17565302040474
36.6218,37.68488450525898
38.6954,38.64967065605961
42.8679,43.62078100798702
41.4921,41.5704476815697
39.918,40.45134438221845
36.0129,38.49686064943266
38.0465,38.01297360371754
38.1099,38.90915669407276
36.6933,36.84259592948193
39.2058,39.403584654496896
36.9604,37.26925639000709
41.3713,40.545399833230604
34.1982,37.28326601898273
38.3618,35.9774154024401
38.13,36.09321617842561
39.6502,40.7122175970875
39.8125,40.82804078038288
38.471,38.24905564540674
41.3671,40.82670806054939
41.3643,41.39955631482735
39.0065,39.70081198321094
38.5458,38.20486835673685
36.3367,37.46996302906575
41.638000000000005,41.24057172579536
38.7234,38.63080326421577
37.9847,38.02573497766046
35.1516,37.09129855154518
37.1907,38.27777154208121
38.6393,37.92907951609595
43.2103,43.72337042246138
35.2763,36.77725637514422
39.7822,40.86593172876499
38.7141,36.22431628141547
40.6906,38.86983782519836
38.5175,38.75343561114845
39.4322,39.958917272450634
36.6757,36.94518534395628
43.0391,42.12230170661992
41.1088,41.68855651697942
43.0867,42.42580296831188
39.7147,39.538850110476574
39.0572,38.236920473937204
41.2913,40.187160117655196
40.1388,38.49932588807587
42.5143,41.26895337112457
35.0358,36.940049658510915
36.7555,37.53810780211475
40.0192,39.349003751700096
40.6433,40.838144721550066
35.2229,37.22933608306829
40.2445,41.11283260774037
38.8435,39.75821063339198
42.7425,41.504104651608586
34.9912,37.13548584021507
38.8451,38.94196750748722
36.8,37.412564378884696
38.3273,38.90731765790294
39.9548,39.63034927210083
37.2188,37.27372857989714
42.8299,42.82641797896474
36.604,36.65732338933675
40.3319,38.14737035598294
35.6449,37.03202772202644
34.6615,37.2336030647994
42.7539,42.43801085419963
36.2208,37.27519034291693
40.7728,40.286981606500206
40.1296,38.11639442882421
36.1543,38.40401388220285
36.5166,36.988369157002765
40.7072,42.40387719958858
36.1189,36.384377060489086
38.5271,39.052120552968205
41.8587,40.594857579255006
34.6615,37.03816688309523
37.7659,36.65482500752567
38.0446,36.112703751083075
37.9996,38.99936615766828
35.1865,36.97910126173542
38.7348,39.508844515773404
40.4972,41.08771604732759
36.3575,36.79046773665539
39.568000000000005,40.966078311906
38.9522,39.5540352800667
36.4194,36.878842313995165
40.3319,38.14737035598294
35.6417,36.82691932932755
36.8713,37.83512992266985
38.7258,39.461188512836884
35.5169,37.634423283611184
