close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
36.71,1590012,0.838,0.73,0.546,0.53,2015-05-01
36.34,935168,0.84,0.74,0.544,0.534,2015-05-04
35.7,729221,0.84,0.73,0.548,0.532,2015-05-05
35.48,893603,0.84,0.73,0.548,0.532,2015-05-06
35.67,442236,0.84,0.736,0.544,0.526,2015-05-07
36.11,994584,0.84,0.738,0.544,0.53,2015-05-08
36.88,1274082,0.84,0.74,0.542,0.528,2015-05-11
36.21,1146341,0.84,0.754,0.538,0.53,2015-05-12
36.43,774469,0.84,0.744,0.542,0.53,2015-05-13
36.99,744704,0.84,0.75,0.542,0.532,2015-05-14
37.23,995437,0.842,0.752,0.54,0.532,2015-05-15
37.55,1028905,0.844,0.756,0.54,0.532,2015-05-18
37.6,797360,0.836,0.752,0.54,0.534,2015-05-19
37.15,834412,0.836,0.756,0.538,0.534,2015-05-20
37.29,778574,0.836,0.75,0.54,0.534,2015-05-21
37.49,792242,0.838,0.754,0.538,0.532,2015-05-22
37.05,885710,0.836,0.76,0.536,0.53,2015-05-25
37.61,746657,0.836,0.762,0.536,0.53,2015-05-26
38.03,842476,0.838,0.758,0.536,0.532,2015-05-27
38.17,1418032,0.836,0.764,0.534,0.532,2015-05-28
38.25,1495213,0.85,0.788,0.534,0.536,2015-05-29
38.25,1229811,0.85,0.782,0.538,0.544,2015-06-01
38.93,1657173,0.848,0.784,0.536,0.544,2015-06-02
38.35,2431011,0.848,0.778,0.538,0.544,2015-06-03
37.51,4042397,0.848,0.794,0.534,0.546,2015-06-04
36.72,1515855,0.85,0.79,0.536,0.548,2015-06-05
36.24,1771324,0.852,0.798,0.534,0.548,2015-06-08
36.94,1097012,0.852,0.784,0.54,0.55,2015-06-09
36.39,2126067,0.852,0.772,0.542,0.548,2015-06-10
36.64,1808614,0.852,0.782,0.54,0.548,2015-06-11
36.25,1156843,0.854,0.772,0.542,0.548,2015-06-12
36.66,1129691,0.854,0.776,0.542,0.548,2015-06-15
35.93,1495181,0.854,0.768,0.544,0.548,2015-06-16
36.21,1636210,0.854,0.772,0.544,0.552,2015-06-17
35.82,1394849,0.854,0.764,0.518,0.462,2015-06-18
35.86,1075095,0.856,0.762,0.52,0.466,2015-06-19
35.9,1140974,0.856,0.76,0.52,0.466,2015-06-22
35.4,1357854,0.856,0.758,0.522,0.466,2015-06-23
35.16,1234932,0.856,0.76,0.522,0.468,2015-06-24
35.51,3041946,0.856,0.748,0.526,0.468,2015-06-25
33.99,1277426,0.854,0.748,0.524,0.466,2015-06-26
33.96,1381496,0.854,0.754,0.524,0.47,2015-06-29
34.12,1094047,0.858,0.724,0.534,0.468,2015-06-30
33.89,1033721,0.858,0.724,0.534,0.47,2015-07-01
33.4,2000283,0.86,0.728,0.534,0.468,2015-07-02
33.42,979762,0.862,0.722,0.536,0.47,2015-07-03
32.49,1284401,0.864,0.724,0.536,0.472,2015-07-06
32.86,1161604,0.864,0.714,0.542,0.472,2015-07-07
33.12,578450,0.862,0.71,0.542,0.472,2015-07-08
33.35,1021919,0.862,0.704,0.542,0.47,2015-07-09
33.76,1215723,0.862,0.71,0.54,0.468,2015-07-10
33.72,1146727,0.862,0.71,0.54,0.468,2015-07-13
33.75,1222792,0.862,0.71,0.54,0.468,2015-07-14
33.48,741785,0.86,0.716,0.536,0.466,2015-07-15
33.61,918394,0.856,0.722,0.534,0.468,2015-07-16
33.32,734504,0.856,0.718,0.536,0.468,2015-07-17
33.02,999623,0.86,0.712,0.538,0.468,2015-07-20
32.9,761483,0.856,0.718,0.536,0.47,2015-07-21
