close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
39.174,913443,0.194,0.148,0.59,0.724,2015-05-01
39.0374,1145053,0.198,0.154,0.588,0.722,2015-05-04
38.6829,1313974,0.202,0.146,0.592,0.722,2015-05-05
38.6957,1103544,0.202,0.146,0.592,0.72,2015-05-06
38.7854,799311,0.2,0.156,0.588,0.722,2015-05-07
39.2424,827009,0.198,0.16,0.588,0.724,2015-05-08
39.9087,1702961,0.2,0.16,0.588,0.724,2015-05-11
39.2424,878315,0.198,0.176,0.58,0.72,2015-05-12
39.3961,1321829,0.196,0.164,0.584,0.722,2015-05-13
39.4388,1166286,0.196,0.164,0.584,0.722,2015-05-14
39.4645,691224,0.196,0.164,0.584,0.722,2015-05-15
39.3961,803291,0.196,0.164,0.586,0.726,2015-05-18
39.3449,1021867,0.198,0.158,0.588,0.726,2015-05-19
39.3363,763435,0.196,0.162,0.586,0.726,2015-05-20
39.2424,852976,0.196,0.16,0.588,0.726,2015-05-21
39.2509,676270,0.198,0.16,0.588,0.728,2015-05-22
38.5804,914174,0.198,0.158,0.588,0.728,2015-05-25
38.8324,847382,0.196,0.16,0.588,0.728,2015-05-26
39.4773,1393036,0.198,0.154,0.59,0.728,2015-05-27
38.8494,1807323,0.198,0.152,0.592,0.728,2015-05-28
38.8409,824081,0.202,0.18,0.584,0.732,2015-05-29
38.9349,533417,0.202,0.154,0.594,0.734,2015-06-01
39.3278,1553154,0.202,0.16,0.592,0.734,2015-06-02
38.8622,1048843,0.202,0.158,0.592,0.734,2015-06-03
38.969,1267619,0.202,0.17,0.588,0.734,2015-06-04
38.8409,1295777,0.202,0.168,0.59,0.736,2015-06-05
39.0544,1200693,0.196,0.158,0.592,0.736,2015-06-08
39.6609,1421787,0.196,0.16,0.59,0.736,2015-06-09
39.3193,844787,0.196,0.166,0.588,0.738,2015-06-10
38.6887,1207256,0.196,0.174,0.586,0.738,2015-06-11
38.1877,1165829,0.194,0.168,0.588,0.736,2015-06-12
39.0947,1182754,0.194,0.15,0.594,0.736,2015-06-15
39.0601,1523674,0.194,0.144,0.596,0.736,2015-06-16
40.2176,1992738,0.194,0.154,0.592,0.736,2015-06-17
40.4638,2452654,0.194,0.154,0.594,0.742,2015-06-18
40.6149,914745,0.192,0.176,0.588,0.744,2015-06-19
40.805,925120,0.192,0.18,0.586,0.748,2015-06-22
39.7771,1754120,0.19,0.184,0.584,0.748,2015-06-23
39.4963,601422,0.19,0.19,0.584,0.752,2015-06-24
39.3625,1085299,0.188,0.168,0.59,0.752,2015-06-25
