close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
28.23,633661,0.97,0.968,0.346,0.038,2015-05-01
28.2,617692,0.97,0.968,0.346,0.04,2015-05-04
28.52,983522,0.97,0.968,0.348,0.04,2015-05-05
29.48,1165563,0.968,0.968,0.346,0.04,2015-05-06
30.04,1601360,0.974,0.97,0.344,0.024,2015-05-07
29.69,860958,0.974,0.97,0.344,0.026,2015-05-08
29.47,584320,0.974,0.97,0.344,0.026,2015-05-11
29.74,622355,0.974,0.97,0.344,0.028,2015-05-12
30.17,506503,0.974,0.97,0.344,0.028,2015-05-13
30.88,701555,0.974,0.97,0.344,0.026,2015-05-14
30.84,521711,0.974,0.97,0.344,0.028,2015-05-15
31.76,606568,0.974,0.968,0.344,0.028,2015-05-18
31.85,872969,0.974,0.97,0.344,0.028,2015-05-19
32.06,826403,0.974,0.97,0.344,0.028,2015-05-20
32.09,505816,0.974,0.97,0.344,0.028,2015-05-21
32.2,416344,0.974,0.97,0.344,0.028,2015-05-22
31.77,436173,0.974,0.972,0.344,0.028,2015-05-25
31.66,402806,0.974,0.972,0.344,0.028,2015-05-26
31.8,314034,0.974,0.97,0.344,0.03,2015-05-27
31.13,522841,0.972,0.97,0.344,0.03,2015-05-28
31.42,442472,0.916,0.954,0.634,0.94,2016-05-24
32.39,1060623,0.916,0.954,0.634,0.94,2016-05-25
32.89,649703,0.914,0.954,0.634,0.94,2016-05-26
32.12,520179,0.916,0.954,0.634,0.94,2016-05-27
32.72,761722,0.916,0.954,0.634,0.94,2016-05-30
32.24,276480,0.916,0.954,0.634,0.94,2016-05-31
31.98,309504,0.916,0.956,0.634,0.94,2016-06-01
31.95,564705,0.916,0.954,0.634,0.94,2016-06-02
31.77,600518,0.916,0.954,0.634,0.942,2016-06-03
32.16,645837,0.916,0.954,0.634,0.94,2016-06-06
32.34,777971,0.916,0.954,0.634,0.938,2016-06-07
32.83,709001,0.916,0.954,0.634,0.938,2016-06-08
33.23,803440,0.918,0.954,0.634,0.938,2016-06-09
34.55,617792,0.918,0.954,0.634,0.938,2016-06-10
34.91,771076,0.918,0.956,0.632,0.938,2016-06-13
35.66,848204,0.918,0.956,0.634,0.94,2016-06-14
35.72,654810,0.918,0.956,0.634,0.938,2016-06-15
35.47,589426,0.918,0.956,0.634,0.938,2016-06-16
35.91,494682,0.918,0.956,0.634,0.938,2016-06-17
35.73,631563,0.918,0.956,0.634,0.938,2016-06-20
34.91,595510,0.918,0.956,0.634,0.938,2016-06-21
34.8,552456,0.918,0.956,0.634,0.938,2016-06-22
34.78,431267,0.918,0.956,0.634,0.94,2016-06-23
35.75,649285,0.916,0.954,0.632,0.938,2016-06-24
35.24,486632,0.914,0.954,0.632,0.938,2016-06-27
35.02,647626,0.914,0.954,0.632,0.938,2016-06-28
34.49,445537,0.916,0.956,0.626,0.922,2016-06-29
35.36,750673,0.916,0.956,0.626,0.922,2016-06-30
35.52,351990,0.916,0.956,0.626,0.922,2016-07-01
35.91,319284,0.916,0.956,0.626,0.92,2016-07-04
36.08,605301,0.916,0.956,0.626,0.92,2016-07-05
36.45,533256,0.914,0.956,0.626,0.92,2016-07-06
36.68,581035,0.914,0.956,0.626,0.92,2016-07-07
36.23,339987,0.914,0.956,0.626,0.92,2016-07-08
36.27,296227,0.914,0.956,0.626,0.92,2016-07-11
36.32,402475,0.914,0.956,0.626,0.92,2016-07-12
35.93,681165,0.914,0.956,0.626,0.92,2016-07-13
36.22,421261,0.914,0.956,0.624,0.918,2016-07-14
37.35,965616,0.914,0.958,0.624,0.918,2016-07-15
35.82,477175,0.91,0.956,0.624,0.918,2016-07-18
35.76,389819,0.91,0.956,0.624,0.92,2016-07-19
35.4,395810,0.91,0.956,0.624,0.92,2016-07-20
35.29,570226,0.91,0.956,0.624,0.92,2016-07-21
36.06,609440,0.91,0.956,0.624,0.92,2016-07-22
36.76,1041246,0.914,0.956,0.626,0.92,2016-07-25
37.39,812619,0.914,0.956,0.626,0.92,2016-07-26
38.03,1239663,0.914,0.956,0.626,0.92,2016-07-27
35.74,955195,0.914,0.956,0.626,0.92,2016-07-28
36.39,1937334,0.914,0.956,0.626,0.922,2016-07-29
38.02,1184995,0.912,0.956,0.626,0.92,2016-08-01
38.39,899002,0.908,0.956,0.624,0.918,2016-08-02
38.62,431426,0.906,0.956,0.624,0.92,2016-08-03
38.48,275995,0.91,0.952,0.628,0.928,2016-08-04
38.79,399334,0.908,0.952,0.628,0.928,2016-08-05
38.48,486909,0.91,0.952,0.628,0.924,2016-08-08
37.81,399626,0.91,0.95,0.628,0.924,2016-08-09
38.11,317449,0.91,0.95,0.626,0.92,2016-08-10
37.4,677948,0.91,0.95,0.628,0.92,2016-08-11
36.95,598947,0.912,0.95,0.628,0.92,2016-08-12
35.01,1028287,0.912,0.95,0.628,0.92,2016-08-15
34.07,915406,0.912,0.948,0.628,0.92,2016-08-16
35.67,565256,0.912,0.948,0.628,0.92,2016-08-17
36.02,1152024,0.912,0.948,0.628,0.92,2016-08-18
36.17,424423,0.912,0.95,0.628,0.922,2016-08-19
35.74,441018,0.912,0.95,0.628,0.92,2016-08-22
35.7,670305,0.91,0.948,0.628,0.92,2016-08-23
36.16,478535,0.91,0.948,0.628,0.922,2016-08-24
36.85,569467,0.91,0.948,0.628,0.92,2016-08-25
36.42,293555,0.91,0.948,0.628,0.92,2016-08-26
37.74,563295,0.91,0.948,0.626,0.92,2016-08-29
37.31,379272,0.91,0.948,0.626,0.92,2016-08-30
