close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
7.97,15056909,0.53,0.908,0.434,0.678,2015-05-01
8.13,18363526,0.532,0.908,0.434,0.678,2015-05-04
7.88,16600967,0.53,0.91,0.432,0.68,2015-05-05
7.81,14550166,0.53,0.908,0.434,0.682,2015-05-06
7.87,12898211,0.536,0.912,0.436,0.684,2015-05-07
7.98,8861682,0.534,0.914,0.436,0.684,2015-05-08
7.94,6561234,0.536,0.912,0.436,0.684,2015-05-11
7.83,8439919,0.53,0.91,0.436,0.686,2015-05-12
7.99,15820694,0.528,0.91,0.434,0.684,2015-05-13
7.93,12755936,0.53,0.912,0.434,0.684,2015-05-14
8.29,27242791,0.53,0.908,0.436,0.686,2015-05-15
8.43,18998298,0.536,0.914,0.436,0.69,2015-05-18
8.23,17729440,0.524,0.912,0.434,0.692,2015-05-19
8.36,14487605,0.526,0.91,0.436,0.692,2015-05-20
8.48,20520748,0.526,0.912,0.436,0.694,2015-05-21
8.56,14600291,0.526,0.912,0.436,0.694,2015-05-22
8.63,24919615,0.524,0.914,0.434,0.694,2015-05-25
8.74,23666257,0.524,0.914,0.434,0.692,2015-05-26
8.7,17874913,0.524,0.916,0.434,0.692,2015-05-27
8.72,44057016,0.524,0.916,0.434,0.692,2015-05-28
8.66,14319022,0.532,0.928,0.432,0.69,2015-05-29
8.51,17751917,0.532,0.928,0.432,0.69,2015-06-01
8.67,13149465,0.532,0.926,0.432,0.692,2015-06-02
8.34,26012330,0.53,0.924,0.432,0.69,2015-06-03
8.31,14902012,0.25,0.754,0.344,0.538,2015-06-04
8.33,12094525,0.25,0.744,0.348,0.536,2015-06-05
8.45,10283831,0.246,0.736,0.348,0.536,2015-06-08
8.64,17232976,0.246,0.742,0.346,0.538,2015-06-09
8.96,29748597,0.246,0.758,0.342,0.536,2015-06-10
8.95,20635063,0.246,0.762,0.34,0.536,2015-06-11
8.76,24578485,0.244,0.778,0.334,0.536,2015-06-12
8.95,19630227,0.244,0.78,0.334,0.536,2015-06-15
8.92,25769747,0.242,0.768,0.338,0.538,2015-06-16
8.6,64446950,0.238,0.776,0.334,0.542,2015-06-17
8.72,23594107,0.24,0.772,0.336,0.542,2015-06-18
8.69,11266151,0.334,0.794,0.352,0.514,2015-06-19
8.89,23556053,0.33,0.802,0.348,0.516,2015-06-22
8.68,22423210,0.332,0.798,0.35,0.514,2015-06-23
8.6,14985878,0.332,0.806,0.346,0.512,2015-06-24
8.56,16019407,0.33,0.802,0.348,0.514,2015-06-25
8.32,22520301,0.328,0.796,0.348,0.512,2015-06-26
8.35,24165595,0.328,0.794,0.35,0.516,2015-06-29
8.41,18695101,0.326,0.79,0.35,0.514,2015-06-30
8.39,17897376,0.326,0.786,0.352,0.516,2015-07-01
8.29,28304193,0.326,0.786,0.352,0.516,2015-07-02
8.53,20506123,0.324,0.786,0.352,0.518,2015-07-03
8.27,13815339,0.324,0.792,0.35,0.518,2015-07-06
8.68,28406730,0.326,0.784,0.354,0.52,2015-07-07
8.71,21157138,0.324,0.802,0.348,0.522,2015-07-08
8.89,18257459,0.324,0.792,0.35,0.522,2015-07-09
8.82,14723041,0.324,0.816,0.342,0.52,2015-07-10
8.73,10646429,0.33,0.81,0.348,0.522,2015-07-13
8.95,18001801,0.33,0.814,0.346,0.52,2015-07-14
8.91,13825657,0.33,0.804,0.348,0.52,2015-07-15
8.82,10726139,0.328,0.802,0.35,0.522,2015-07-16
8.69,10145721,0.33,0.816,0.346,0.522,2015-07-17
8.83,19265929,0.33,0.818,0.344,0.52,2015-07-20
8.79,12924254,0.328,0.812,0.346,0.522,2015-07-21
8.72,11482755,0.326,0.808,0.346,0.522,2015-07-22
8.59,16341293,0.324,0.816,0.342,0.518,2015-07-23
8.75,23875558,0.324,0.816,0.342,0.52,2015-07-24
8.87,17381509,0.32,0.814,0.342,0.52,2015-07-27
8.96,18469479,0.32,0.812,0.344,0.522,2015-07-28
8.91,10493974,0.32,0.814,0.342,0.524,2015-07-29
8.83,9345630,0.316,0.814,0.342,0.526,2015-07-30
9.08,21072698,0.312,0.818,0.34,0.528,2015-07-31
9.32,30300087,0.314,0.816,0.342,0.528,2015-08-03
9.12,16341640,0.316,0.816,0.344,0.53,2015-08-04
8.88,15452116,0.312,0.822,0.34,0.532,2015-08-05
8.94,12095768,0.312,0.828,0.338,0.528,2015-08-06
8.84,15723303,0.312,0.822,0.34,0.53,2015-08-07
8.9,14309135,0.314,0.816,0.344,0.534,2015-08-10
9.04,22134423,0.314,0.816,0.342,0.53,2015-08-11
9.08,10124905,0.312,0.814,0.344,0.53,2015-08-12
9.16,12669743,0.31,0.812,0.344,0.532,2015-08-13
8.82,27537131,0.31,0.82,0.34,0.532,2015-08-14
8.72,15346811,0.314,0.822,0.342,0.532,2015-08-17
8.41,30473399,0.314,0.822,0.342,0.532,2015-08-18
7.94,34401123,0.316,0.808,0.346,0.534,2015-08-19
7.79,33051745,0.316,0.806,0.348,0.532,2015-08-20
7.75,21808315,0.316,0.8,0.35,0.534,2015-08-21
7.96,27474002,0.316,0.794,0.352,0.532,2015-08-24
8.24,22628891,0.318,0.804,0.35,0.534,2015-08-25
8.24,11809061,0.32,0.806,0.35,0.534,2015-08-26
8.25,14226617,0.318,0.806,0.35,0.536,2015-08-27
8.0,21749542,0.316,0.806,0.348,0.534,2015-08-28
8.16,14868063,0.314,0.802,0.35,0.534,2015-08-31
8.19,14270870,0.316,0.806,0.348,0.536,2015-09-01
8.2,10002562,0.316,0.81,0.348,0.536,2015-09-02
8.27,17971657,0.316,0.804,0.35,0.536,2015-09-03
8.15,18144515,0.316,0.808,0.348,0.536,2015-09-04
8.5,21390721,0.312,0.818,0.342,0.536,2015-09-07
8.61,15644807,0.308,0.818,0.342,0.536,2015-09-08
8.46,20966187,0.308,0.814,0.344,0.536,2015-09-09
8.54,17300036,0.31,0.814,0.344,0.538,2015-09-10
8.59,21840460,0.31,0.824,0.34,0.536,2015-09-11
7.66,87300912,0.308,0.814,0.346,0.544,2015-09-14
7.51,59728737,0.308,0.808,0.348,0.548,2015-09-15
7.33,39658228,0.308,0.808,0.35,0.552,2015-09-16
7.17,28880466,0.31,0.804,0.352,0.552,2015-09-17
7.0,25264901,0.308,0.748,0.37,0.55,2015-09-18
6.83,29978107,0.47,0.786,0.388,0.482,2015-09-21
6.8,27180778,0.47,0.774,0.392,0.482,2015-09-22
