close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
105.0739,6205116,0.358,0.66,0.454,0.664,2015-05-01
105.5587,7566209,0.36,0.668,0.452,0.662,2015-05-04
105.3496,14619307,0.358,0.674,0.448,0.658,2015-05-05
104.3133,8975283,0.36,0.68,0.446,0.656,2015-05-06
103.8759,8291198,0.364,0.668,0.448,0.65,2015-05-07
104.6841,6260611,0.366,0.662,0.452,0.65,2015-05-08
103.2485,6728542,0.364,0.66,0.452,0.65,2015-05-11
103.8569,6345037,0.362,0.646,0.456,0.652,2015-05-12
103.8094,4141357,0.362,0.658,0.452,0.652,2015-05-13
104.5129,4662043,0.364,0.654,0.454,0.652,2015-05-14
104.8647,5852173,0.364,0.65,0.456,0.652,2015-05-15
104.8932,4868918,0.368,0.652,0.456,0.652,2015-05-18
105.1119,4549640,0.358,0.646,0.454,0.652,2015-05-19
104.7696,4393474,0.356,0.654,0.452,0.652,2015-05-20
104.9503,4880577,0.358,0.654,0.452,0.652,2015-05-21
104.8267,4267697,0.358,0.652,0.454,0.654,2015-05-22
104.0471,5970756,0.358,0.65,0.454,0.656,2015-05-25
104.9312,3984196,0.358,0.65,0.454,0.656,2015-05-26
105.0834,3391980,0.356,0.658,0.452,0.658,2015-05-27
104.9312,5264878,0.356,0.656,0.452,0.658,2015-05-28
105.4922,6778890,0.364,0.678,0.45,0.66,2015-05-29
105.2925,4425947,0.364,0.676,0.45,0.66,2015-06-01
105.6918,4510344,0.364,0.678,0.448,0.662,2015-06-02
104.8647,5748198,0.36,0.678,0.448,0.662,2015-06-03
104.8647,4323537,0.36,0.68,0.448,0.664,2015-06-04
103.9045,6068142,0.36,0.684,0.446,0.666,2015-06-05
103.1724,7711756,0.354,0.684,0.446,0.668,2015-06-08
104.5795,5128742,0.356,0.676,0.45,0.67,2015-06-09
105.1689,5036279,0.356,0.674,0.45,0.67,2015-06-10
104.5319,4009859,0.354,0.674,0.45,0.67,2015-06-11
104.7506,5742208,0.352,0.68,0.448,0.67,2015-06-12
105.5872,3848346,0.352,0.68,0.448,0.67,2015-06-15
105.9961,4732297,0.352,0.69,0.446,0.672,2015-06-16
107.6408,6929896,0.352,0.69,0.444,0.672,2015-06-17
107.0704,9587721,0.354,0.694,0.446,0.676,2015-06-18
107.9355,5906156,0.352,0.702,0.442,0.678,2015-06-19
108.7722,6003070,0.352,0.698,0.444,0.68,2015-06-22
108.1637,5636168,0.352,0.698,0.444,0.68,2015-06-23
108.8102,6213483,0.352,0.7,0.444,0.682,2015-06-24
109.3236,9509570,0.352,0.7,0.444,0.68,2015-06-25
107.4792,7618224,0.35,0.704,0.442,0.68,2015-06-26
108.5155,6946744,0.348,0.71,0.44,0.682,2015-06-29
110.0932,5435397,0.348,0.706,0.44,0.68,2015-06-30
109.9402,5549504,0.348,0.71,0.44,0.684,2015-07-01
110.6383,5880490,0.348,0.71,0.44,0.682,2015-07-02
111.9771,8359934,0.348,0.71,0.44,0.682,2015-07-03
110.1506,8445169,0.346,0.714,0.438,0.678,2015-07-06
110.5427,7016849,0.348,0.716,0.436,0.68,2015-07-07
111.3459,7020711,0.346,0.726,0.434,0.682,2015-07-08
112.8855,7595237,0.344,0.722,0.434,0.68,2015-07-09
112.6942,5061659,0.346,0.728,0.432,0.68,2015-07-10
113.1246,4845200,0.346,0.722,0.434,0.68,2015-07-13
113.8609,6303045,0.346,0.728,0.432,0.68,2015-07-14
113.6601,5109909,0.346,0.726,0.434,0.68,2015-07-15
114.3486,6950952,0.35,0.73,0.434,0.682,2015-07-16
114.0904,4785194,0.352,0.728,0.436,0.682,2015-07-17
114.1095,4714082,0.352,0.734,0.434,0.682,2015-07-20
113.6027,3347184,0.35,0.738,0.432,0.684,2015-07-21
113.7079,4320854,0.348,0.738,0.43,0.682,2015-07-22
113.0767,5179267,0.35,0.738,0.432,0.684,2015-07-23
113.2776,6447319,0.352,0.742,0.432,0.684,2015-07-24
114.5972,6083479,0.348,0.746,0.428,0.684,2015-07-27
114.7789,4430097,0.344,0.742,0.428,0.684,2015-07-28
114.7502,5767280,0.354,0.74,0.43,0.678,2015-07-29
115.8212,8426894,0.352,0.742,0.43,0.676,2015-07-30
