       close    volume  growthScore  multipleScore  integratedScore  financialReturnsScore        date
393  37.9352  16345262        0.094          0.820            0.334                  0.728  2016-11-02
394  38.3525  12307041        0.094          0.832            0.332                  0.730  2016-11-03
395  38.3618  12743512        0.098          0.832            0.332                  0.732  2016-11-04
396  38.1300   9294081        0.098          0.826            0.334                  0.730  2016-11-07
397  38.5101   7402652        0.096          0.822            0.336                  0.732  2016-11-08
398  38.7141  19424412        0.094          0.822            0.334                  0.732  2016-11-09
399  38.4804  11421921        0.094          0.820            0.336                  0.732  2016-11-10
400  37.7323  22410367        0.098          0.806            0.342                  0.732  2016-11-11
401  37.5639  20409864        0.104          0.810            0.344                  0.734  2016-11-14
402  37.7416  11176301        0.096          0.820            0.330                  0.714  2016-11-15
403  37.9847  15977847        0.104          0.826            0.332                  0.714  2016-11-16
404  37.9380  11303492        0.106          0.820            0.334                  0.714  2016-11-17
405  38.6113  13726520        0.104          0.816            0.334                  0.714  2016-11-18
406  38.3214  13077139        0.108          0.814            0.336                  0.714  2016-11-21
407  39.2752  28125775        0.108          0.812            0.336                  0.712  2016-11-22
408  39.1817  17561150        0.106          0.816            0.336                  0.716  2016-11-23
409  39.0508  18985974        0.108          0.812            0.336                  0.716  2016-11-24
410  38.5365  17937857        0.108          0.812            0.336                  0.716  2016-11-25
411  38.8544  14265277        0.108          0.816            0.336                  0.716  2016-11-28
412  39.0321  19675238        0.106          0.822            0.332                  0.714  2016-11-29
413  38.9666   8687338        0.102          0.810            0.336                  0.714  2016-11-30
414  38.9573  10603483        0.102          0.802            0.338                  0.714  2016-12-01
415  38.8731   9693613        0.102          0.804            0.338                  0.714  2016-12-02
416  38.8544  11894113        0.102          0.810            0.336                  0.714  2016-12-05
417  38.9012   6436556        0.104          0.808            0.336                  0.714  2016-12-06
418  38.9105   6999169        0.104          0.804            0.338                  0.714  2016-12-07
419  38.7048   8987984        0.104          0.808            0.336                  0.714  2016-12-08
420  38.9012   6875301        0.104          0.796            0.340                  0.710  2016-12-09
421  38.7702  11470194        0.104          0.806            0.336                  0.708  2016-12-12
422  39.0882  14711049        0.104          0.812            0.334                  0.710  2016-12-13
423  38.9479   9959402        0.104          0.808            0.334                  0.708  2016-12-14
424  39.0414   8968258        0.104          0.810            0.334                  0.710  2016-12-15
425  39.0321  10247235        0.104          0.806            0.336                  0.712  2016-12-16
426  38.6393  14822501        0.108          0.816            0.334                  0.710  2016-12-19
427  38.3775  19706782        0.104          0.812            0.334                  0.710  2016-12-20
428  38.3868   9266213        0.104          0.812            0.334                  0.710  2016-12-21
429  38.2933   8541181        0.106          0.812            0.336                  0.710  2016-12-22
430  38.2279   8123494        0.106          0.814            0.334                  0.710  2016-12-23
431  38.5458  12469432        0.106          0.812            0.334                  0.710  2016-12-26
432  38.6113  10390485        0.106          0.812            0.334                  0.710  2016-12-27
433  38.4710  10987072        0.106          0.806            0.336                  0.710  2016-12-28
434  38.6393  14695409        0.106          0.812            0.334                  0.710  2016-12-29
435  38.7422  11628909        0.106          0.814            0.334                  0.710  2016-12-30
436  39.1817  17040102        0.106          0.814            0.334                  0.710  2017-01-02
437  39.3874  12538163        0.106          0.814            0.334                  0.710  2017-01-03
438  39.0975   8977135        0.106          0.812            0.334                  0.708  2017-01-04
439  38.7609  12967305        0.104          0.802            0.338                  0.708  2017-01-05
440  38.6954  11626225        0.106          0.802            0.338                  0.708  2017-01-06
441  38.8731  12677977        0.106          0.804            0.336                  0.708  2017-01-09
442  38.5832  11136077        0.104          0.800            0.338                  0.708  2017-01-10
443  38.7141   9459722        0.104          0.796            0.338                  0.708  2017-01-11
444  38.8451  11882373        0.104          0.796            0.338                  0.708  2017-01-12
445  38.8638  15742824        0.104          0.796            0.338                  0.708  2017-01-13
446  39.1817  13315185        0.104          0.794            0.340                  0.708  2017-01-16
447  39.2939  14219667        0.104          0.794            0.340                  0.708  2017-01-17
448  38.5739  27240268        0.104          0.796            0.338                  0.706  2017-01-18
449  37.9473  28847307        0.106          0.800            0.338                  0.708  2017-01-19
450  37.9847  23617075        0.106          0.796            0.338                  0.708  2017-01-20
451  37.9006  32177836        0.106          0.800            0.338                  0.708  2017-01-23
452  37.8164  26600788        0.106          0.804            0.338                  0.710  2017-01-24
453  38.5271  22214839        0.106          0.804            0.336                  0.710  2017-01-25
454  38.5552  15065148        0.106          0.806            0.338                  0.712  2017-01-26
455  38.7702  17072551        0.106          0.806            0.336                  0.710  2017-01-27
456  38.9012  11186823        0.104          0.802            0.338                  0.712  2017-01-30
457  38.9573  12856844        0.104          0.808            0.334                  0.708  2017-01-31
458  39.0695  13215306        0.104          0.804            0.336                  0.708  2017-02-01
459  38.9666  12186364        0.106          0.806            0.336                  0.708  2017-02-02
460  39.2378  15946816        0.106          0.802            0.338                  0.708  2017-02-03
461  39.4248  14662016        0.108          0.802            0.338                  0.708  2017-02-06
462  39.7147  15507623        0.108          0.804            0.338                  0.706  2017-02-07
463  39.7241  11743030        0.108          0.804            0.338                  0.708  2017-02-08
464  39.4435  16307783        0.108          0.800            0.340                  0.710  2017-02-09
465  39.2659  11273704        0.106          0.774            0.346                  0.708  2017-02-10
466  39.2659  14641689        0.052          0.776            0.330                  0.716  2017-02-13
467  39.3033  14496447        0.052          0.782            0.328                  0.716  2017-02-14
468  39.5464  16369676        0.052          0.774            0.332                  0.716  2017-02-15
469  39.6502  12831543        0.052          0.774            0.330                  0.716  2017-02-16
470  39.5936   9844453        0.050          0.788            0.326                  0.716  2017-02-17
471  39.7351  22757762        0.052          0.784            0.328                  0.716  2017-02-20
472  39.8577  16004192        0.052          0.786            0.328                  0.716  2017-02-21
473  39.6502  37526506        0.052          0.786            0.328                  0.716  2017-02-22
474  39.7917  11484233        0.052          0.786            0.328                  0.716  2017-02-23
475  40.0936  17187257        0.052          0.790            0.326                  0.714  2017-02-24
476  39.9803  11605453        0.050          0.786            0.326                  0.716  2017-02-27
477  39.7822  11503322        0.052          0.786            0.328                  0.716  2017-02-28
478  39.7351  13804411        0.050          0.794            0.324                  0.714  2017-03-01
479  39.9237  12387364        0.050          0.784            0.326                  0.714  2017-03-02
480  40.0275  14123756        0.048          0.798            0.322                  0.714  2017-03-03
481  40.0181   9580060        0.048          0.800            0.320                  0.714  2017-03-06
482  40.1879  11999910        0.048          0.800            0.320                  0.714  2017-03-07
483  40.0370  11551767        0.048          0.796            0.322                  0.714  2017-03-08
484  40.0087  11240037        0.048          0.804            0.320                  0.716  2017-03-09
485  40.2634  10946230        0.048          0.808            0.318                  0.716  2017-03-10
486  40.1596  10142817        0.046          0.812            0.318                  0.718  2017-03-13
487  40.2539  14597765        0.044          0.806            0.318                  0.716  2017-03-14
488  40.1973  11025314        0.042          0.812            0.316                  0.720  2017-03-15
489  40.2728   9426908        0.044          0.806            0.320                  0.720  2017-03-16
490  40.2445   8909379        0.044          0.800            0.322                  0.722  2017-03-17
491  40.5086  13417205        0.044          0.796            0.322                  0.722  2017-03-20
492  40.3671   9891941        0.044          0.796            0.322                  0.722  2017-03-21
493  40.6313  11318086        0.044          0.810            0.318                  0.722  2017-03-22
494  41.0181  13181590        0.044          0.808            0.318                  0.722  2017-03-23
495  40.7822  13893062        0.044          0.806            0.320                  0.722  2017-03-24
496  40.6501  10838274        0.042          0.800            0.322                  0.722  2017-03-27
497  40.6313  13833772        0.042          0.804            0.320                  0.722  2017-03-28
498  40.8294  16703800        0.042          0.804            0.320                  0.720  2017-03-29
499  40.6690  18745112        0.042          0.802            0.320                  0.720  2017-03-30
500  40.7917  13626625        0.044          0.804            0.320                  0.720  2017-03-31
501  40.5747  10386244        0.042          0.802            0.322                  0.722  2017-04-03
502  40.7068  10337768        0.042          0.808            0.318                  0.720  2017-04-04
503  40.7728  13208246        0.042          0.808            0.318                  0.720  2017-04-05
504  40.9332  11823916        0.394          0.860            0.412                  0.702  2017-04-06
505  40.8671  10389027        0.394          0.858            0.412                  0.702  2017-04-07
506  41.1879  10193064        0.398          0.858            0.412                  0.698  2017-04-10
507  41.2162   8133039        0.396          0.856            0.412                  0.696  2017-04-11
508  41.4049  14284342        0.398          0.854            0.412                  0.694  2017-04-12
509  41.0464   8694355        0.400          0.860            0.410                  0.694  2017-04-13
510  41.1030   7597653        0.394          0.862            0.408                  0.694  2017-04-14
511  41.1973   6860135        0.396          0.862            0.410                  0.694  2017-04-17
512  41.1218   7275825        0.396          0.860            0.410                  0.696  2017-04-18
513  41.2539   8493046        0.398          0.864            0.410                  0.694  2017-04-19
514  41.3671  10454121        0.396          0.862            0.410                  0.696  2017-04-20
515  41.4426  14538754        0.396          0.858            0.410                  0.696  2017-04-21
516  41.3199  13832197        0.386          0.852            0.414                  0.706  2017-04-24
517  41.4143  11796762        0.386          0.856            0.412                  0.706  2017-04-25
518  41.6784  12857913        0.386          0.848            0.416                  0.706  2017-04-26
519  41.8765  11996138        0.426          0.852            0.454                  0.788  2017-04-27
520  42.4803  12872039        0.424          0.848            0.456                  0.790  2017-04-28
521  42.8388  16704206        0.424          0.852            0.454                  0.792  2017-05-01
522  42.8199  11341383        0.422          0.846            0.456                  0.792  2017-05-02
523  42.8577  13093537        0.422          0.846            0.456                  0.792  2017-05-03
524  42.8954  14148040        0.420          0.852            0.454                  0.794  2017-05-04
525  43.1973  11049283        0.420          0.846            0.456                  0.794  2017-05-05
526  43.2916   9923724        0.420          0.848            0.454                  0.792  2017-05-08
527  43.3859  10015163        0.422          0.850            0.456                  0.794  2017-05-09
528  43.3765   9836725        0.416          0.844            0.456                  0.794  2017-05-10
529  42.9331  12776279        0.418          0.848            0.454                  0.794  2017-05-11
530  42.5746  12878998        0.418          0.846            0.456                  0.794  2017-05-12
531  42.7539   9358824        0.416          0.844            0.456                  0.794  2017-05-15
532  42.7633  11228502        0.416          0.842            0.456                  0.794  2017-05-16
533  42.8299  10023358        0.414          0.842            0.456                  0.794  2017-05-17
534  43.0867  11497520        0.414          0.850            0.452                  0.794  2017-05-18
535  43.0391   9908718        0.418          0.852            0.454                  0.796  2017-05-19
536  43.0962  27025333        0.420          0.850            0.456                  0.796  2017-05-22
537  43.1628   7624663        0.420          0.846            0.456                  0.796  2017-05-23
538  43.3815  14920858        0.416          0.846            0.454                  0.790  2017-05-24
539  43.0106   9515844        0.416          0.848            0.452                  0.784  2017-05-25
540  42.8679   7446300        0.418          0.848            0.452                  0.786  2017-05-26
541  43.0391   9544792        0.416          0.848            0.452                  0.784  2017-05-29
542  43.2103   7747057        0.416          0.846            0.450                  0.782  2017-05-30
543  42.8489  11432191        0.420          0.848            0.452                  0.782  2017-05-31
544  43.1057   9218750        0.420          0.846            0.452                  0.782  2017-06-01
545  42.6397   9283457        0.424          0.862            0.446                  0.778  2017-06-02
546  42.6587   9352785        0.424          0.862            0.448                  0.780  2017-06-05
