close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
63.57,2271301,0.758,0.932,0.558,0.846,2015-05-01
64.76,2053807,0.76,0.93,0.56,0.848,2015-05-04
64.31,1237590,0.76,0.93,0.56,0.846,2015-05-05
65.035,1356580,0.756,0.932,0.556,0.846,2015-05-06
65.31,1089811,0.756,0.932,0.558,0.848,2015-05-07
65.49,837441,0.756,0.934,0.556,0.846,2015-05-08
65.67,1161027,0.752,0.932,0.556,0.846,2015-05-11
64.7,1253965,0.752,0.93,0.556,0.846,2015-05-12
64.41,1089358,0.75,0.93,0.554,0.842,2015-05-13
65.2,1186010,0.754,0.93,0.556,0.842,2015-05-14
64.49,996539,0.754,0.93,0.556,0.846,2015-05-15
64.585,1343547,0.756,0.928,0.558,0.848,2015-05-18
63.0,1962757,0.748,0.928,0.556,0.848,2015-05-19
61.91,2350543,0.748,0.928,0.556,0.846,2015-05-20
60.5,3705592,0.746,0.928,0.556,0.846,2015-05-21
61.16,2901060,0.746,0.924,0.556,0.846,2015-05-22
60.27,2050019,0.746,0.926,0.554,0.846,2015-05-25
61.115,1985931,0.746,0.926,0.554,0.846,2015-05-26
61.23,1266073,0.748,0.924,0.556,0.846,2015-05-27
59.79,2754855,0.748,0.924,0.556,0.846,2015-05-28
59.98,2097157,0.76,0.938,0.558,0.85,2015-05-29
59.8,3876553,0.762,0.934,0.56,0.85,2015-06-01
61.27,2322559,0.758,0.934,0.558,0.85,2015-06-02
61.35,1395572,0.76,0.936,0.558,0.85,2015-06-03
63.8,3550145,0.758,0.94,0.556,0.85,2015-06-04
61.52,5435871,0.76,0.942,0.558,0.854,2015-06-05
68.27,16031025,0.758,0.944,0.556,0.854,2015-06-08
66.77,5547262,0.758,0.944,0.556,0.854,2015-06-09
66.07,4759659,0.754,0.81,0.594,0.838,2015-06-10
66.48,1945460,0.756,0.8,0.598,0.838,2015-06-11
66.82,1831132,0.748,0.8,0.596,0.84,2015-06-12
67.26,1411882,0.748,0.802,0.596,0.84,2015-06-15
66.93,1555430,0.748,0.808,0.594,0.84,2015-06-16
66.61,1467996,0.748,0.806,0.594,0.84,2015-06-17
65.99,3001280,0.748,0.814,0.592,0.844,2015-06-18
66.34,1753931,0.75,0.816,0.594,0.848,2015-06-19
68.8,4439761,0.75,0.806,0.6,0.854,2015-06-22
67.42,1638848,0.75,0.808,0.598,0.852,2015-06-23
67.56,1415661,0.75,0.818,0.596,0.854,2015-06-24
67.09,10089356,0.748,0.814,0.596,0.854,2015-06-25
64.8,1616689,0.746,0.812,0.596,0.852,2015-06-26
65.3,1688326,0.746,0.802,0.6,0.852,2015-06-29
65.05,1462912,0.748,0.798,0.6,0.852,2015-06-30
65.175,1366278,0.748,0.794,0.602,0.852,2015-07-01
64.3,1855760,0.748,0.776,0.606,0.848,2015-07-02
65.68,2141490,0.75,0.776,0.608,0.848,2015-07-03
63.97,1399612,0.752,0.778,0.608,0.848,2015-07-06
62.46,2206394,0.748,0.774,0.608,0.848,2015-07-07
62.995,2090214,0.748,0.758,0.612,0.848,2015-07-08
64.11,1311817,0.748,0.754,0.614,0.846,2015-07-09
63.92,1127357,0.746,0.78,0.604,0.846,2015-07-10
63.42,1429143,0.744,0.776,0.606,0.848,2015-07-13
62.78,1372447,0.746,0.782,0.604,0.846,2015-07-14
62.94,1360216,0.746,0.772,0.606,0.846,2015-07-15
63.36,888889,0.746,0.778,0.604,0.846,2015-07-16
62.77,1415830,0.746,0.776,0.606,0.846,2015-07-17
62.86,1463106,0.744,0.776,0.604,0.846,2015-07-20
62.0,1953990,0.74,0.776,0.604,0.846,2015-07-21
61.24,1991789,0.742,0.774,0.606,0.846,2015-07-22
61.17,2211511,0.74,0.774,0.606,0.848,2015-07-23
63.22,2047675,0.74,0.768,0.606,0.848,2015-07-24
63.74,1355125,0.738,0.762,0.608,0.848,2015-07-27
63.07,1614783,0.736,0.76,0.608,0.848,2015-07-28
62.86,1486599,0.732,0.776,0.602,0.85,2015-07-29
61.87,1654016,0.732,0.776,0.602,0.85,2015-07-30
62.57,1453541,0.73,0.776,0.6,0.848,2015-07-31
62.69,1433708,0.73,0.778,0.602,0.85,2015-08-03
62.27,1608125,0.732,0.768,0.604,0.85,2015-08-04
62.37,1327987,0.732,0.78,0.6,0.848,2015-08-05
63.99,1626415,0.734,0.792,0.596,0.848,2015-08-06
64.45,1520051,0.73,0.79,0.596,0.848,2015-08-07
63.02,2099061,0.734,0.758,0.608,0.85,2015-08-10
64.5,1316869,0.736,0.768,0.606,0.85,2015-08-11
65.17,1196678,0.736,0.752,0.61,0.85,2015-08-12
66.37,1712319,0.734,0.744,0.614,0.85,2015-08-13
66.7,1712936,0.734,0.758,0.608,0.85,2015-08-14
65.36,1387889,0.732,0.78,0.6,0.85,2015-08-17
62.96,1679282,0.732,0.782,0.6,0.85,2015-08-18
61.95,2081012,0.734,0.78,0.6,0.85,2015-08-19
59.07,3460412,0.734,0.776,0.602,0.85,2015-08-20
58.7,1859539,0.734,0.77,0.604,0.85,2015-08-21
60.31,2525361,0.734,0.772,0.604,0.85,2015-08-24
62.64,2907096,0.732,0.768,0.604,0.85,2015-08-25
63.17,1456135,0.732,0.776,0.602,0.85,2015-08-26
64.01,2125307,0.734,0.778,0.602,0.852,2015-08-27
63.07,1858846,0.734,0.782,0.6,0.85,2015-08-28
65.36,3224745,0.732,0.778,0.602,0.85,2015-08-31
64.95,3005621,0.734,0.786,0.6,0.852,2015-09-01
65.68,2222758,0.734,0.79,0.6,0.852,2015-09-02
65.89,3117280,0.734,0.792,0.598,0.852,2015-09-03
64.05,4524784,0.732,0.794,0.596,0.848,2015-09-04
53.54,31695301,0.734,0.802,0.594,0.848,2015-09-07
54.01,12927073,0.736,0.802,0.594,0.85,2015-09-08
53.79,5080801,0.736,0.798,0.596,0.85,2015-09-09
53.37,5671814,0.736,0.792,0.598,0.85,2015-09-10
54.65,5056213,0.736,0.716,0.622,0.848,2015-09-11
53.83,3198982,0.726,0.722,0.618,0.848,2015-09-14
52.91,3883812,0.724,0.724,0.616,0.846,2015-09-15
53.98,5421667,0.724,0.716,0.618,0.846,2015-09-16
54.72,3346805,0.724,0.724,0.616,0.846,2015-09-17
53.53,2833163,0.724,0.714,0.618,0.846,2015-09-18
52.85,2787805,0.724,0.716,0.618,0.848,2015-09-21
52.58,2895746,0.724,0.722,0.616,0.848,2015-09-22
50.37,2843770,0.724,0.728,0.614,0.846,2015-09-23
49.81,3802583,0.722,0.722,0.616,0.848,2015-09-24
50.65,2217066,0.72,0.724,0.614,0.848,2015-09-25
50.28,2695240,0.722,0.724,0.614,0.848,2015-09-28
51.12,3584297,0.722,0.72,0.616,0.848,2015-09-29
51.27,2557399,0.722,0.714,0.618,0.848,2015-09-30
51.74,2144744,0.722,0.712,0.62,0.848,2015-10-01
54.0,3513740,0.722,0.71,0.62,0.848,2015-10-02
54.21,2726286,0.726,0.718,0.618,0.846,2015-10-05
52.75,2597396,0.728,0.716,0.62,0.846,2015-10-06
51.91,1375954,0.726,0.704,0.624,0.848,2015-10-07
51.58,2223145,0.728,0.72,0.618,0.848,2015-10-08
51.54,1621986,0.728,0.718,0.62,0.848,2015-10-09
52.52,1940500,0.728,0.704,0.624,0.848,2015-10-12
53.81,4189485,0.726,0.692,0.628,0.848,2015-10-13
53.26,2058112,0.726,0.698,0.626,0.85,2015-10-14
52.93,1571527,0.724,0.702,0.624,0.85,2015-10-15
52.0,2186390,0.724,0.702,0.624,0.85,2015-10-16
52.33,5737283,0.724,0.71,0.622,0.85,2015-10-19
48.49,7717605,0.722,0.706,0.622,0.85,2015-10-20
48.3,3663084,0.726,0.702,0.624,0.852,2015-10-21
48.28,1619512,0.722,0.71,0.62,0.85,2015-10-22
49.24,3232979,0.722,0.708,0.622,0.85,2015-10-23
48.79,2024520,0.726,0.662,0.638,0.85,2015-10-26
49.17,3776768,0.728,0.662,0.638,0.85,2015-10-27
51.08,3620167,0.728,0.676,0.634,0.852,2015-10-28
52.09,2765469,0.724,0.678,0.634,0.856,2015-10-29
51.68,2093649,0.722,0.684,0.632,0.856,2015-10-30
52.08,1207890,0.722,0.692,0.628,0.856,2015-11-02
51.06,1919570,0.724,0.71,0.622,0.854,2015-11-03
50.17,1877915,0.724,0.718,0.62,0.854,2015-11-04
50.08,1885315,0.718,0.716,0.62,0.858,2015-11-05
47.57,3640725,0.718,0.714,0.62,0.856,2015-11-06
