close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
44.9249,5681176,0.124,0.212,0.422,0.356,2015-05-01
45.4122,3786827,0.124,0.222,0.418,0.356,2015-05-04
45.4393,4623523,0.124,0.218,0.42,0.354,2015-05-05
45.0693,4389037,0.138,0.28,0.402,0.348,2015-05-06
45.4122,4169901,0.134,0.282,0.4,0.35,2015-05-07
46.2515,2793270,0.134,0.29,0.398,0.348,2015-05-08
46.5674,4158859,0.134,0.292,0.398,0.348,2015-05-11
46.8562,4873928,0.134,0.306,0.394,0.352,2015-05-12
47.0727,4037102,0.134,0.312,0.39,0.35,2015-05-13
47.7225,2964692,0.136,0.314,0.39,0.35,2015-05-14
47.8669,2304361,0.136,0.32,0.388,0.35,2015-05-15
47.9481,3097435,0.138,0.32,0.39,0.35,2015-05-18
47.6487,2739949,0.132,0.314,0.39,0.352,2015-05-19
47.5671,2703366,0.132,0.308,0.392,0.352,2015-05-20
48.0116,2991118,0.132,0.308,0.392,0.352,2015-05-21
47.7848,1838466,0.134,0.314,0.392,0.354,2015-05-22
47.3131,3018030,0.132,0.312,0.392,0.354,2015-05-25
48.2385,4035361,0.132,0.312,0.392,0.354,2015-05-26
47.7758,2119934,0.134,0.31,0.392,0.354,2015-05-27
47.9481,5441743,0.134,0.316,0.39,0.354,2015-05-28
48.1114,3343132,0.136,0.332,0.386,0.356,2015-05-29
47.8665,2389048,0.136,0.322,0.39,0.356,2015-06-01
47.5943,2567189,0.136,0.324,0.39,0.358,2015-06-02
46.6236,4997320,0.138,0.324,0.39,0.356,2015-06-03
46.2788,3497773,0.138,0.328,0.388,0.356,2015-06-04
46.2788,2706393,0.138,0.318,0.392,0.358,2015-06-05
46.2788,2761278,0.134,0.302,0.396,0.354,2015-06-08
47.3675,3022783,0.134,0.308,0.394,0.358,2015-06-09
47.2314,2827490,0.134,0.306,0.396,0.358,2015-06-10
47.0953,2289962,0.134,0.318,0.392,0.358,2015-06-11
46.5147,2869904,0.132,0.316,0.39,0.354,2015-06-12
46.678,2369344,0.132,0.32,0.386,0.344,2015-06-15
46.2153,4589102,0.132,0.312,0.388,0.346,2015-06-16
46.6054,3274983,0.132,0.312,0.39,0.348,2015-06-17
46.7233,4952903,0.136,0.306,0.392,0.348,2015-06-18
47.1679,2576499,0.134,0.31,0.392,0.35,2015-06-19
47.177,2500406,0.134,0.314,0.39,0.35,2015-06-22
46.678,2314792,0.134,0.318,0.388,0.35,2015-06-23
45.9975,2570736,0.132,0.32,0.388,0.352,2015-06-24
44.9724,5016793,0.13,0.316,0.388,0.352,2015-06-25
43.9562,4376174,0.13,0.31,0.39,0.352,2015-06-26
43.7476,5618125,0.13,0.288,0.4,0.356,2015-06-29
44.1286,3320769,0.13,0.286,0.398,0.352,2015-06-30
44.1377,3063015,0.13,0.276,0.402,0.352,2015-07-01
43.6296,4228565,0.128,0.274,0.402,0.352,2015-07-02
43.675,6457734,0.128,0.274,0.402,0.352,2015-07-03
43.1034,4080781,0.128,0.274,0.402,0.352,2015-07-06
42.7224,6044975,0.128,0.268,0.404,0.354,2015-07-07
42.8312,3145992,0.128,0.268,0.406,0.356,2015-07-08
43.0943,2209714,0.13,0.272,0.404,0.354,2015-07-09
