close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
31.0245,8368724,0.646,0.788,0.582,0.888,2015-05-01
31.0197,6933978,0.646,0.794,0.58,0.886,2015-05-04
31.0623,6828512,0.648,0.792,0.582,0.886,2015-05-05
31.1617,6978838,0.64,0.716,0.606,0.896,2015-05-06
31.3274,5062148,0.638,0.724,0.604,0.896,2015-05-07
31.8622,5935912,0.638,0.726,0.604,0.898,2015-05-08
31.635,5075052,0.638,0.726,0.604,0.896,2015-05-11
31.5211,4820222,0.636,0.724,0.604,0.898,2015-05-12
31.2742,5892490,0.632,0.722,0.602,0.896,2015-05-13
31.1745,6501402,0.634,0.722,0.604,0.898,2015-05-14
31.3122,5520590,0.636,0.708,0.608,0.898,2015-05-15
31.9341,6467288,0.636,0.708,0.608,0.898,2015-05-18
32.8505,13578318,0.63,0.722,0.602,0.898,2015-05-19
32.5039,8511594,0.63,0.738,0.596,0.898,2015-05-20
32.2238,6360672,0.63,0.728,0.6,0.9,2015-05-21
31.8867,5460060,0.63,0.724,0.602,0.9,2015-05-22
31.4166,6602970,0.624,0.71,0.604,0.9,2015-05-25
31.5733,4630796,0.626,0.712,0.606,0.9,2015-05-26
31.3217,3850540,0.626,0.71,0.606,0.902,2015-05-27
30.5668,12799914,0.626,0.706,0.606,0.902,2015-05-28
30.9039,6236698,0.636,0.718,0.608,0.902,2015-05-29
30.8089,5128780,0.636,0.704,0.612,0.904,2015-06-01
31.3454,5164674,0.634,0.706,0.61,0.904,2015-06-02
31.1507,4973356,0.634,0.704,0.612,0.904,2015-06-03
31.1602,4542850,0.636,0.712,0.608,0.904,2015-06-04
30.9846,3383804,0.636,0.712,0.61,0.906,2015-06-05
30.7187,4808030,0.632,0.712,0.608,0.906,2015-06-08
31.108,4632374,0.63,0.712,0.608,0.906,2015-06-09
31.1128,4097870,0.632,0.712,0.608,0.906,2015-06-10
31.0368,3085320,0.63,0.714,0.608,0.906,2015-06-11
30.8944,4624200,0.628,0.708,0.608,0.906,2015-06-12
31.0321,3986890,0.628,0.708,0.608,0.906,2015-06-15
31.1982,3549194,0.63,0.708,0.61,0.908,2015-06-16
31.8867,6478576,0.628,0.712,0.608,0.908,2015-06-17
31.635,6040888,0.632,0.714,0.608,0.908,2015-06-18
31.5923,3052564,0.634,0.72,0.608,0.908,2015-06-19
32.0528,4431028,0.632,0.716,0.608,0.908,2015-06-22
32.0861,5696476,0.634,0.714,0.61,0.91,2015-06-23
31.9484,5234594,0.634,0.726,0.606,0.91,2015-06-24
32.295,5970708,0.636,0.732,0.604,0.912,2015-06-25
31.3739,6715920,0.634,0.728,0.606,0.91,2015-06-26
31.4166,6357618,0.634,0.74,0.602,0.912,2015-06-29
32.0101,5571456,0.634,0.736,0.604,0.91,2015-06-30
31.7157,4297474,0.632,0.73,0.604,0.91,2015-07-01
31.768,6857416,0.634,0.746,0.6,0.91,2015-07-02
32.3899,6177472,0.632,0.73,0.604,0.91,2015-07-03
31.9959,4319420,0.634,0.734,0.604,0.908,2015-07-06
32.1288,5031856,0.634,0.742,0.6,0.908,2015-07-07
32.3472,4691172,0.632,0.752,0.596,0.908,2015-07-08
32.8362,4590414,0.632,0.754,0.594,0.906,2015-07-09
32.822,4066032,0.632,0.756,0.594,0.906,2015-07-10
32.6273,4788602,0.636,0.758,0.596,0.91,2015-07-13
32.9359,4217950,0.636,0.762,0.594,0.908,2015-07-14
32.6368,4002874,0.638,0.758,0.596,0.908,2015-07-15
32.8078,3377700,0.638,0.758,0.596,0.908,2015-07-16
32.5371,4355728,0.642,0.766,0.594,0.906,2015-07-17
32.5751,4098956,0.64,0.764,0.594,0.908,2015-07-20
32.3994,2964640,0.64,0.762,0.596,0.908,2015-07-21
32.0196,3864852,0.642,0.756,0.598,0.908,2015-07-22
31.9721,3592810,0.642,0.752,0.6,0.91,2015-07-23
32.219,3370090,0.642,0.75,0.6,0.908,2015-07-24
32.9787,7640836,0.64,0.748,0.6,0.908,2015-07-27
33.0546,5879940,0.638,0.75,0.598,0.908,2015-07-28
33.1496,5733340,0.634,0.75,0.598,0.91,2015-07-29
32.9312,5598770,0.634,0.766,0.594,0.91,2015-07-30
33.0262,3329220,0.632,0.766,0.594,0.912,2015-07-31
33.3205,2573656,0.628,0.768,0.59,0.912,2015-08-03
32.9929,4348138,0.626,0.764,0.592,0.912,2015-08-04
33.0594,3492298,0.628,0.77,0.59,0.91,2015-08-05
33.3158,4052564,0.628,0.774,0.588,0.91,2015-08-06
33.3205,4018144,0.628,0.77,0.59,0.91,2015-08-07
33.3682,5804766,0.626,0.774,0.588,0.91,2015-08-10
33.6063,6963098,0.626,0.766,0.59,0.91,2015-08-11
33.6206,4874592,0.624,0.774,0.586,0.91,2015-08-12
34.1015,8893884,0.624,0.774,0.588,0.91,2015-08-13
36.5635,19304566,0.626,0.78,0.586,0.91,2015-08-14
35.654,13700508,0.63,0.78,0.586,0.91,2015-08-17
35.3968,7376516,0.63,0.794,0.582,0.908,2015-08-18
34.073,10143354,0.632,0.832,0.57,0.91,2015-08-19
33.0634,13723826,0.632,0.826,0.572,0.908,2015-08-20
32.7872,10425688,0.632,0.832,0.57,0.908,2015-08-21
33.7206,10246750,0.648,0.82,0.578,0.908,2015-08-24
34.0206,6745592,0.65,0.822,0.578,0.908,2015-08-25
33.6777,8965256,0.65,0.826,0.578,0.91,2015-08-26
33.4872,5481492,0.648,0.83,0.576,0.908,2015-08-27
33.0443,6976402,0.648,0.822,0.578,0.91,2015-08-28
33.7349,6097920,0.648,0.812,0.582,0.91,2015-08-31
34.0206,6056180,0.652,0.81,0.584,0.91,2015-09-01
33.6968,4437004,0.65,0.82,0.58,0.91,2015-09-02
34.4492,5827746,0.65,0.822,0.58,0.91,2015-09-03
33.8396,4606022,0.65,0.826,0.578,0.91,2015-09-04
34.0444,4672150,0.652,0.83,0.576,0.91,2015-09-07
34.192,4588922,0.652,0.83,0.576,0.91,2015-09-08
33.911,4048238,0.652,0.832,0.576,0.91,2015-09-09
33.7968,6334560,0.65,0.826,0.578,0.91,2015-09-10
34.0825,5727030,0.65,0.828,0.576,0.908,2015-09-11
34.5444,9500988,0.634,0.816,0.574,0.906,2015-09-14
33.9825,9745962,0.632,0.81,0.576,0.906,2015-09-15
34.273,4033848,0.632,0.802,0.578,0.906,2015-09-16
33.9158,6276608,0.634,0.802,0.58,0.906,2015-09-17
33.8872,3492778,0.634,0.808,0.576,0.904,2015-09-18
33.9206,4159712,0.634,0.806,0.578,0.906,2015-09-21
33.792,5210178,0.634,0.806,0.578,0.906,2015-09-22
32.9015,4741518,0.632,0.81,0.576,0.906,2015-09-23
33.0872,7242888,0.632,0.81,0.576,0.906,2015-09-24
34.0111,9315458,0.63,0.81,0.576,0.906,2015-09-25
33.7158,6407082,0.63,0.82,0.572,0.906,2015-09-28
33.992,5861484,0.63,0.814,0.574,0.906,2015-09-29
34.0634,7551974,0.63,0.816,0.574,0.906,2015-09-30
33.7015,4704232,0.628,0.82,0.572,0.906,2015-10-01
34.2396,8025722,0.628,0.82,0.572,0.906,2015-10-02
34.3968,4787006,0.638,0.82,0.574,0.904,2015-10-05
34.6587,4755776,0.64,0.816,0.576,0.902,2015-10-06
35.0397,4884988,0.638,0.81,0.578,0.906,2015-10-07
34.6397,4457098,0.638,0.812,0.578,0.908,2015-10-08
34.1777,5891392,0.64,0.808,0.58,0.908,2015-10-09
34.1587,7179744,0.64,0.814,0.578,0.908,2015-10-12
34.492,5344812,0.64,0.818,0.576,0.908,2015-10-13
34.7254,4422322,0.638,0.818,0.576,0.908,2015-10-14
34.7682,4484680,0.638,0.812,0.578,0.91,2015-10-15
34.4825,3667586,0.636,0.802,0.582,0.912,2015-10-16
35.1921,5613216,0.636,0.804,0.58,0.91,2015-10-19
34.173,7455768,0.636,0.808,0.58,0.91,2015-10-20
34.4968,4726922,0.638,0.806,0.58,0.908,2015-10-21
34.2111,4347752,0.638,0.806,0.58,0.908,2015-10-22
34.873,4718090,0.636,0.812,0.578,0.91,2015-10-23
34.8016,3842746,0.634,0.792,0.584,0.91,2015-10-26
34.8539,5485108,0.638,0.798,0.584,0.91,2015-10-27
34.8682,5192674,0.64,0.8,0.584,0.912,2015-10-28
35.3492,5319166,0.642,0.81,0.582,0.912,2015-10-29
35.0873,4400604,0.638,0.806,0.582,0.914,2015-10-30
35.3921,5688822,0.64,0.81,0.582,0.914,2015-11-02
34.7301,5095802,0.644,0.804,0.584,0.914,2015-11-03
33.9421,6503048,0.644,0.816,0.58,0.914,2015-11-04
34.3003,6339936,0.642,0.806,0.584,0.914,2015-11-05
32.9917,8867044,0.644,0.812,0.582,0.914,2015-11-06
32.5953,12263400,0.642,0.798,0.586,0.914,2015-11-09
30.6659,20523352,0.638,0.788,0.588,0.912,2015-11-10
31.3536,16970362,0.638,0.794,0.586,0.912,2015-11-11
32.5619,21187268,0.64,0.778,0.592,0.912,2015-11-12
32.6383,10908776,0.64,0.776,0.592,0.914,2015-11-13
32.3326,8074994,0.642,0.734,0.606,0.912,2015-11-16
33.5027,12646018,0.642,0.754,0.6,0.912,2015-11-17
33.7129,7251072,0.644,0.778,0.594,0.912,2015-11-18
33.6842,8203678,0.642,0.766,0.596,0.914,2015-11-19
34.2191,7146156,0.644,0.762,0.598,0.914,2015-11-20
34.071,3132852,0.648,0.778,0.594,0.912,2015-11-23
33.7176,13365572,0.646,0.778,0.594,0.912,2015-11-24
33.8036,7245888,0.644,0.776,0.594,0.912,2015-11-25
