close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
71.1997,5000017,0.156,0.436,0.43,0.574,2015-05-01
71.7251,6669210,0.156,0.43,0.434,0.574,2015-05-04
70.7739,5855414,0.156,0.43,0.434,0.574,2015-05-05
70.7831,5480055,0.156,0.432,0.432,0.572,2015-05-06
71.1295,5538289,0.164,0.358,0.462,0.584,2015-05-07
71.5853,5347396,0.164,0.36,0.462,0.582,2015-05-08
71.1933,3744882,0.162,0.36,0.46,0.58,2015-05-11
71.9772,8448963,0.162,0.356,0.462,0.58,2015-05-12
71.248,8421167,0.162,0.372,0.456,0.58,2015-05-13
71.7585,6170246,0.16,0.362,0.46,0.58,2015-05-14
72.2325,6617173,0.16,0.362,0.46,0.58,2015-05-15
72.8523,8300267,0.164,0.362,0.462,0.584,2015-05-18
69.671,22458581,0.16,0.364,0.46,0.586,2015-05-19
69.1878,10541876,0.158,0.328,0.472,0.586,2015-05-20
69.3793,6756162,0.192,0.37,0.472,0.594,2015-05-21
69.1514,6815006,0.192,0.366,0.474,0.596,2015-05-22
68.2763,10573616,0.192,0.364,0.474,0.596,2015-05-25
68.5406,6987068,0.192,0.364,0.474,0.596,2015-05-26
68.2216,5025471,0.192,0.362,0.476,0.594,2015-05-27
67.702,6375067,0.192,0.358,0.476,0.594,2015-05-28
68.1213,5646037,0.196,0.376,0.472,0.596,2015-05-29
67.939,5797834,0.198,0.366,0.476,0.598,2015-06-01
68.2672,6093825,0.198,0.37,0.476,0.6,2015-06-02
67.5926,8982797,0.198,0.364,0.478,0.6,2015-06-03
66.599,10635085,0.196,0.368,0.476,0.6,2015-06-04
66.1888,9592958,0.194,0.372,0.474,0.602,2015-06-05
66.0612,8335572,0.188,0.352,0.48,0.602,2015-06-08
66.4805,11215817,0.188,0.35,0.482,0.604,2015-06-09
66.4896,7419959,0.188,0.35,0.482,0.606,2015-06-10
66.0247,7246589,0.188,0.348,0.482,0.606,2015-06-11
65.5689,7566777,0.19,0.348,0.482,0.608,2015-06-12
65.9518,6215625,0.188,0.348,0.482,0.606,2015-06-15
66.2982,5703861,0.19,0.34,0.486,0.608,2015-06-16
66.5261,8376621,0.188,0.342,0.484,0.608,2015-06-17
66.3073,14550688,0.188,0.346,0.484,0.612,2015-06-18
66.3529,6489463,0.188,0.342,0.486,0.616,2015-06-19
66.1523,7876315,0.188,0.35,0.484,0.614,2015-06-22
65.9791,7338351,0.188,0.346,0.486,0.614,2015-06-23
65.5051,5293151,0.188,0.342,0.486,0.616,2015-06-24
65.7421,6897822,0.188,0.346,0.486,0.616,2015-06-25
65.104,8187836,0.186,0.344,0.486,0.616,2015-06-26
64.6574,11102559,0.184,0.35,0.484,0.618,2015-06-29
65.5233,10773904,0.184,0.36,0.48,0.616,2015-06-30
65.5051,6586071,0.18,0.352,0.482,0.616,2015-07-01
66.1159,10536477,0.176,0.358,0.478,0.614,2015-07-02
67.2644,12421297,0.176,0.358,0.478,0.614,2015-07-03
66.599,7790963,0.18,0.36,0.478,0.612,2015-07-06
66.3438,8695824,0.18,0.372,0.474,0.614,2015-07-07
66.6537,5579323,0.178,0.378,0.472,0.616,2015-07-08
67.3465,6084498,0.18,0.39,0.468,0.616,2015-07-09
67.2644,5518153,0.18,0.39,0.468,0.616,2015-07-10
67.1368,4566724,0.182,0.382,0.472,0.618,2015-07-13
67.3009,5231727,0.182,0.382,0.472,0.616,2015-07-14
66.8998,5680568,0.184,0.38,0.472,0.616,2015-07-15
66.6355,5085621,0.186,0.384,0.472,0.616,2015-07-16
66.3073,6441071,0.186,0.384,0.474,0.618,2015-07-17
66.6902,6961551,0.188,0.38,0.476,0.618,2015-07-20
66.0976,4252929,0.186,0.378,0.476,0.62,2015-07-21
65.2499,5951117,0.184,0.376,0.474,0.616,2015-07-22
65.0676,6197584,0.18,0.392,0.468,0.618,2015-07-23
65.7239,8592296,0.18,0.394,0.468,0.618,2015-07-24
65.8424,4939670,0.178,0.386,0.47,0.616,2015-07-27
65.7786,4604530,0.178,0.388,0.468,0.618,2015-07-28
65.6145,7928371,0.176,0.38,0.472,0.622,2015-07-29
65.7968,5131845,0.176,0.376,0.474,0.62,2015-07-30
65.8606,5873371,0.17,0.374,0.472,0.622,2015-07-31
67.4668,8715807,0.168,0.376,0.472,0.622,2015-08-03
66.8059,6367735,0.17,0.372,0.474,0.626,2015-08-04
65.3926,7797473,0.17,0.378,0.474,0.626,2015-08-05
65.6036,6020087,0.174,0.392,0.47,0.63,2015-08-06
66.0167,6829195,0.172,0.39,0.472,0.63,2015-08-07
66.6132,8903056,0.172,0.378,0.476,0.634,2015-08-10
66.1819,7652355,0.166,0.368,0.478,0.636,2015-08-11
66.4297,5912505,0.164,0.376,0.474,0.634,2015-08-12
