close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
45.81,2941075,0.012,0.098,0.43,0.378,2015-07-14
44.49,2210889,0.018,0.03,0.496,0.502,2015-07-15
44.76,1245210,0.018,0.026,0.498,0.502,2015-07-16
43.95,1418141,0.02,0.026,0.498,0.502,2015-07-17
43.28,1841566,0.02,0.026,0.498,0.502,2015-07-20
43.48,1453907,0.02,0.028,0.498,0.504,2015-07-21
42.5,1742171,0.02,0.032,0.498,0.506,2015-07-22
42.74,1767777,0.02,0.03,0.498,0.504,2015-07-23
42.97,1819010,0.02,0.03,0.498,0.504,2015-07-24
42.27,1888927,0.02,0.03,0.498,0.506,2015-07-27
43.38,1720614,0.02,0.03,0.498,0.506,2015-07-28
45.54,2765905,0.018,0.032,0.498,0.51,2015-07-29
45.31,1597147,0.016,0.038,0.498,0.512,2015-07-30
44.3,1529017,0.016,0.036,0.498,0.516,2015-07-31
43.69,1938954,0.016,0.034,0.5,0.516,2015-08-03
44.5,3645769,0.02,0.032,0.5,0.516,2015-08-04
51.92,11124087,0.02,0.036,0.5,0.514,2015-08-05
51.2,4630244,0.01,0.034,0.502,0.532,2015-08-06
52.08,2783495,0.01,0.032,0.504,0.532,2015-08-07
53.48,2666898,0.01,0.026,0.506,0.536,2015-08-10
51.44,2516808,0.01,0.028,0.506,0.534,2015-08-11
51.88,2695382,0.01,0.022,0.508,0.536,2015-08-12
51.11,1470768,0.01,0.022,0.508,0.536,2015-08-13
51.51,1140052,0.01,0.02,0.508,0.534,2015-08-14
51.74,1346549,0.01,0.024,0.506,0.534,2015-08-17
51.63,1611685,0.01,0.022,0.506,0.534,2015-08-18
49.94,3084073,0.008,0.022,0.508,0.536,2015-08-19
47.91,2059247,0.008,0.022,0.506,0.534,2015-08-20
45.27,3651671,0.008,0.022,0.508,0.534,2015-08-21
43.61,3824825,0.008,0.018,0.508,0.534,2015-08-24
44.38,2834096,0.008,0.02,0.508,0.536,2015-08-25
46.09,1990069,0.008,0.02,0.508,0.534,2015-08-26
47.84,2079583,0.008,0.02,0.508,0.538,2015-08-27
47.8,1910914,0.008,0.02,0.51,0.542,2015-08-28
47.84,1218711,0.008,0.02,0.51,0.544,2015-08-31
47.26,1915106,0.008,0.02,0.51,0.54,2015-09-01
47.96,1596280,0.008,0.02,0.51,0.542,2015-09-02
48.29,1329643,0.008,0.02,0.51,0.542,2015-09-03
46.94,1091025,0.01,0.02,0.51,0.544,2015-09-04
49.11,1412637,0.01,0.02,0.51,0.542,2015-09-07
47.73,1683180,0.01,0.02,0.51,0.544,2015-09-08
48.22,1581210,0.01,0.02,0.51,0.544,2015-09-09
48.79,1339286,0.01,0.02,0.512,0.546,2015-09-10
46.2,2583141,0.01,0.02,0.512,0.544,2015-09-11
46.58,1649928,0.01,0.022,0.514,0.552,2015-09-14
47.76,1792081,0.01,0.02,0.514,0.552,2015-09-15
46.92,1391927,0.01,0.02,0.514,0.55,2015-09-16
45.33,3862882,0.01,0.022,0.512,0.55,2015-09-17
45.14,1247043,0.01,0.02,0.512,0.548,2015-09-18
44.42,1599698,0.01,0.02,0.512,0.548,2015-09-21
43.37,1631993,0.01,0.02,0.512,0.548,2015-09-22
43.64,1695127,0.012,0.02,0.514,0.55,2015-09-23
43.29,1206112,0.01,0.02,0.514,0.554,2015-09-24
40.81,1870736,0.012,0.028,0.484,0.468,2015-09-25
41.02,1766468,0.012,0.028,0.484,0.468,2015-09-28
42.75,1496177,0.012,0.024,0.486,0.468,2015-09-29
42.68,1469451,0.012,0.024,0.486,0.468,2015-09-30
45.46,1747270,0.012,0.028,0.484,0.468,2015-10-01
46.66,1604118,0.012,0.026,0.484,0.468,2015-10-02
48.88,2697492,0.012,0.028,0.484,0.47,2015-10-05
49.91,2566556,0.012,0.03,0.484,0.47,2015-10-06
51.12,1604603,0.012,0.04,0.482,0.47,2015-10-07
51.2,1399408,0.014,0.038,0.482,0.472,2015-10-08
50.83,1270928,0.014,0.046,0.48,0.47,2015-10-09
50.58,1175390,0.014,0.05,0.478,0.47,2015-10-12
51.95,1383141,0.014,0.042,0.48,0.47,2015-10-13
52.48,1533776,0.014,0.046,0.48,0.474,2015-10-14
52.05,1160839,0.014,0.052,0.478,0.476,2015-10-15
51.19,980610,0.014,0.054,0.478,0.476,2015-10-16
51.77,951530,0.014,0.054,0.478,0.476,2015-10-19
49.94,1516263,0.014,0.046,0.482,0.478,2015-10-20
49.89,1718893,0.014,0.048,0.482,0.48,2015-10-21
50.43,1376126,0.014,0.046,0.482,0.48,2015-10-22
50.57,1251040,0.014,0.044,0.482,0.478,2015-10-23
49.16,1284651,0.014,0.042,0.482,0.476,2015-10-26
50.85,1772112,0.014,0.044,0.482,0.478,2015-10-27
50.99,3001361,0.014,0.046,0.484,0.48,2015-10-28
57.07,6634060,0.014,0.046,0.482,0.48,2015-10-29
57.78,2937831,0.014,0.052,0.482,0.482,2015-10-30
58.35,2655680,0.01,0.056,0.5,0.544,2015-11-02
58.66,1728657,0.012,0.058,0.502,0.548,2015-11-03
58.33,1642417,0.012,0.056,0.502,0.55,2015-11-04
59.67,1505433,0.012,0.056,0.502,0.552,2015-11-05
58.39,1523514,0.012,0.056,0.502,0.552,2015-11-06
55.87,3854236,0.012,0.064,0.5,0.552,2015-11-09
54.75,2317729,0.012,0.06,0.502,0.554,2015-11-10
53.92,2147034,0.012,0.058,0.504,0.554,2015-11-11
52.72,2263888,0.012,0.056,0.504,0.556,2015-11-12
54.18,1389950,0.012,0.052,0.506,0.556,2015-11-13
52.75,1822426,0.012,0.05,0.506,0.558,2015-11-16
53.94,1489486,0.012,0.052,0.506,0.56,2015-11-17
53.28,961416,0.012,0.046,0.508,0.56,2015-11-18
54.44,1344435,0.012,0.056,0.506,0.562,2015-11-19
54.88,1401735,0.012,0.054,0.506,0.562,2015-11-20
56.17,1230737,0.012,0.058,0.506,0.564,2015-11-23
56.4,1092279,0.012,0.056,0.506,0.564,2015-11-24
56.1,686101,0.012,0.06,0.506,0.564,2015-11-25
56.51,1472559,0.012,0.066,0.504,0.564,2015-11-26
58.18,1608135,0.012,0.07,0.502,0.564,2015-11-27
59.67,3719886,0.012,0.068,0.502,0.564,2015-11-30
59.46,2700902,0.012,0.064,0.504,0.562,2015-12-01
59.84,1538900,0.012,0.068,0.502,0.562,2015-12-02
59.32,1852124,0.012,0.076,0.5,0.564,2015-12-03
59.07,2753381,0.012,0.074,0.5,0.562,2015-12-04
58.85,3186339,0.012,0.072,0.502,0.564,2015-12-07
54.35,7515666,0.012,0.072,0.502,0.564,2015-12-08
55.26,3212044,0.012,0.07,0.502,0.564,2015-12-09
58.41,3444346,0.012,0.07,0.502,0.564,2015-12-10
59.83,4589760,0.054,0.136,0.454,0.446,2015-12-11
65.62,7207179,0.056,0.152,0.45,0.448,2015-12-14
64.48,3326292,0.054,0.204,0.434,0.448,2015-12-15
63.41,3311472,0.054,0.21,0.406,0.376,2015-12-16
65.74,2778858,0.054,0.278,0.384,0.376,2015-12-17
64.99,1872257,0.056,0.27,0.388,0.374,2015-12-18
66.17,1334898,0.054,0.258,0.39,0.374,2015-12-21
66.92,921202,0.054,0.302,0.376,0.376,2015-12-22
66.4,1026263,0.054,0.278,0.384,0.376,2015-12-23
66.41,1049369,0.054,0.284,0.382,0.376,2015-12-24
66.99,1342517,0.054,0.298,0.378,0.376,2015-12-25
65.99,1515486,0.054,0.298,0.378,0.376,2015-12-28
