close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
103.3508,1302030,0.284,0.614,0.35,0.382,2015-05-01
105.1016,821436,0.286,0.612,0.352,0.38,2015-05-04
105.1613,746897,0.286,0.614,0.352,0.382,2015-05-05
104.455,899490,0.286,0.62,0.35,0.38,2015-05-06
104.9524,563582,0.444,0.566,0.42,0.384,2015-05-07
105.5095,579192,0.446,0.57,0.42,0.384,2015-05-08
105.1414,493670,0.446,0.564,0.422,0.384,2015-05-11
103.8979,645338,0.444,0.562,0.422,0.386,2015-05-12
102.4853,1020737,0.442,0.556,0.424,0.386,2015-05-13
102.4853,935227,0.446,0.546,0.428,0.386,2015-05-14
104.3655,765574,0.444,0.542,0.43,0.388,2015-05-15
105.0022,601920,0.444,0.552,0.428,0.388,2015-05-18
104.0443,879294,0.436,0.55,0.426,0.392,2015-05-19
104.4125,493352,0.438,0.544,0.428,0.392,2015-05-20
105.3081,461057,0.44,0.55,0.428,0.394,2015-05-21
105.6266,522495,0.438,0.552,0.426,0.392,2015-05-22
103.6164,977849,0.438,0.554,0.426,0.39,2015-05-25
103.3974,815772,0.438,0.552,0.426,0.39,2015-05-26
104.4622,692660,0.438,0.548,0.428,0.392,2015-05-27
104.1338,963074,0.438,0.538,0.43,0.392,2015-05-28
104.1736,1459682,0.446,0.57,0.422,0.392,2015-05-29
111.5478,4506801,0.444,0.56,0.426,0.392,2015-06-01
114.8716,1993829,0.444,0.56,0.426,0.396,2015-06-02
115.0209,1389910,0.444,0.606,0.412,0.4,2015-06-03
113.8765,811188,0.444,0.632,0.404,0.398,2015-06-04
115.1304,958133,0.444,0.644,0.4,0.398,2015-06-05
114.9612,664996,0.434,0.632,0.4,0.396,2015-06-08
113.4386,898408,0.432,0.642,0.396,0.396,2015-06-09
111.9658,1473318,0.432,0.644,0.394,0.396,2015-06-10
112.2046,692808,0.434,0.626,0.402,0.398,2015-06-11
110.6323,909370,0.428,0.614,0.404,0.396,2015-06-12
112.3837,1176616,0.428,0.622,0.4,0.396,2015-06-15
112.3738,744015,0.428,0.61,0.406,0.398,2015-06-16
112.6425,763842,0.428,0.626,0.4,0.398,2015-06-17
114.0457,1178612,0.426,0.626,0.398,0.396,2015-06-18
114.0855,687350,0.426,0.622,0.4,0.396,2015-06-19
114.3044,448153,0.424,0.632,0.398,0.4,2015-06-22
113.1401,386418,0.424,0.628,0.398,0.398,2015-06-23
115.6877,1043007,0.426,0.628,0.398,0.396,2015-06-24
114.9413,1862375,0.426,0.63,0.398,0.396,2015-06-25
112.4335,746568,0.424,0.64,0.394,0.396,2015-06-26
114.6428,1283177,0.422,0.636,0.396,0.4,2015-06-29
116.6729,973116,0.422,0.638,0.394,0.398,2015-06-30
117.2401,924478,0.422,0.65,0.39,0.398,2015-07-01
115.3493,945122,0.422,0.656,0.388,0.398,2015-07-02
115.1801,975280,0.422,0.66,0.388,0.4,2015-07-03
112.334,728901,0.42,0.662,0.386,0.398,2015-07-06
112.3141,740921,0.42,0.65,0.388,0.398,2015-07-07
113.0505,1008919,0.416,0.642,0.392,0.402,2015-07-08
115.9663,760415,0.416,0.638,0.394,0.402,2015-07-09
115.2001,503949,0.418,0.64,0.392,0.402,2015-07-10
114.2447,576723,0.422,0.632,0.396,0.402,2015-07-13
114.8617,660238,0.42,0.648,0.39,0.4,2015-07-14
113.5381,440381,0.42,0.64,0.394,0.4,2015-07-15
113.8765,560047,0.418,0.634,0.396,0.402,2015-07-16
113.7272,391896,0.422,0.636,0.396,0.402,2015-07-17
114.5432,531809,0.422,0.636,0.396,0.404,2015-07-20
114.0954,544822,0.42,0.632,0.398,0.404,2015-07-21
112.5032,566880,0.418,0.64,0.392,0.4,2015-07-22
110.9607,570231,0.416,0.646,0.392,0.404,2015-07-23
112.8614,433173,0.418,0.646,0.392,0.404,2015-07-24
115.1403,577987,0.416,0.644,0.394,0.406,2015-07-27
115.5981,440141,0.414,0.634,0.396,0.406,2015-07-28
115.4787,569676,0.412,0.644,0.39,0.404,2015-07-29
113.9063,1176700,0.41,0.648,0.39,0.406,2015-07-30
113.986,486615,0.408,0.642,0.39,0.406,2015-07-31
116.3146,544525,0.406,0.632,0.392,0.406,2015-08-03
114.6527,834235,0.408,0.63,0.396,0.41,2015-08-04
113.2495,692973,0.408,0.632,0.394,0.408,2015-08-05
114.5631,700577,0.41,0.642,0.392,0.41,2015-08-06
113.1202,636706,0.412,0.64,0.394,0.41,2015-08-07
111.7866,1095724,0.414,0.634,0.398,0.416,2015-08-10
111.2393,1288306,0.412,0.638,0.398,0.418,2015-08-11
113.966,588884,0.41,0.636,0.398,0.416,2015-08-12
114.9712,444272,0.41,0.63,0.398,0.416,2015-08-13
116.0857,529374,0.408,0.626,0.4,0.416,2015-08-14
116.8122,857429,0.406,0.638,0.394,0.416,2015-08-17
114.4238,1160409,0.408,0.638,0.396,0.416,2015-08-18
111.7369,964256,0.408,0.644,0.394,0.416,2015-08-19
106.8664,1746282,0.41,0.656,0.39,0.416,2015-08-20
108.728,2034893,0.412,0.658,0.39,0.416,2015-08-21
110.938,1583504,0.412,0.662,0.388,0.416,2015-08-24
117.6377,2789001,0.41,0.656,0.39,0.418,2015-08-25
116.453,1488914,0.41,0.68,0.384,0.418,2015-08-26
118.444,1396167,0.41,0.666,0.388,0.42,2015-08-27
116.2838,1241891,0.41,0.682,0.382,0.418,2015-08-28
117.7273,798930,0.412,0.678,0.384,0.418,2015-08-31
117.2694,975433,0.412,0.696,0.378,0.418,2015-09-01
116.3635,765864,0.414,0.7,0.378,0.418,2015-09-02
117.6277,1158511,0.412,0.698,0.378,0.418,2015-09-03
114.1634,943119,0.412,0.694,0.378,0.418,2015-09-04
113.9743,863156,0.412,0.696,0.378,0.42,2015-09-07
113.5163,788661,0.41,0.696,0.378,0.42,2015-09-08
112.2819,874433,0.406,0.684,0.38,0.418,2015-09-09
112.929,834107,0.408,0.672,0.384,0.418,2015-09-10
115.2186,471936,0.406,0.672,0.384,0.418,2015-09-11
114.4421,773742,0.404,0.664,0.388,0.424,2015-09-14
111.1072,818930,0.404,0.658,0.39,0.424,2015-09-15
112.9887,788990,0.406,0.656,0.392,0.424,2015-09-16
111.7842,669643,0.406,0.66,0.39,0.424,2015-09-17
108.3199,566303,0.408,0.654,0.392,0.424,2015-09-18
106.6176,1475510,0.408,0.644,0.396,0.422,2015-09-21
104.3777,1522358,0.406,0.65,0.392,0.422,2015-09-22
99.5993,1118591,0.404,0.652,0.392,0.424,2015-09-23
96.3241,1680413,0.402,0.638,0.396,0.426,2015-09-24
101.4808,1483677,0.402,0.638,0.398,0.428,2015-09-25
99.4898,1098170,0.404,0.628,0.4,0.428,2015-09-28
100.9731,711291,0.402,0.62,0.404,0.428,2015-09-29
102.7152,727559,0.402,0.604,0.408,0.428,2015-09-30
100.6048,724434,0.404,0.624,0.402,0.426,2015-10-01
98.5441,973521,0.404,0.612,0.406,0.426,2015-10-02
101.1423,977954,0.406,0.612,0.406,0.428,2015-10-05
100.1867,696376,0.41,0.608,0.41,0.426,2015-10-06
100.0075,570577,0.408,0.59,0.416,0.428,2015-10-07
99.9278,626853,0.408,0.57,0.422,0.426,2015-10-08
99.4301,942161,0.408,0.574,0.42,0.426,2015-10-09
98.1558,1188234,0.408,0.574,0.42,0.426,2015-10-12
100.7342,877067,0.408,0.574,0.42,0.426,2015-10-13
99.7287,867464,0.41,0.576,0.42,0.426,2015-10-14
99.0617,633676,0.416,0.588,0.418,0.426,2015-10-15
95.2988,1992931,0.414,0.566,0.426,0.43,2015-10-16
95.4979,1715838,0.414,0.574,0.422,0.43,2015-10-19
87.7728,3653264,0.422,0.598,0.414,0.418,2015-10-20
89.5448,1448898,0.422,0.594,0.416,0.418,2015-10-21
89.0869,922950,0.422,0.582,0.42,0.42,2015-10-22
90.2815,830753,0.422,0.576,0.422,0.42,2015-10-23
90.5901,1167082,0.424,0.53,0.438,0.424,2015-10-26
90.5403,1268256,0.422,0.546,0.432,0.422,2015-10-27
91.7648,696764,0.422,0.548,0.432,0.422,2015-10-28
92.5014,878088,0.422,0.55,0.43,0.42,2015-10-29
91.6652,753384,0.416,0.55,0.43,0.424,2015-10-30
94.4825,1428323,0.418,0.55,0.43,0.42,2015-11-02
93.8155,1066963,0.418,0.55,0.43,0.422,2015-11-03
90.829,1261933,0.418,0.55,0.43,0.422,2015-11-04
92.5114,724454,0.418,0.546,0.432,0.426,2015-11-05
87.8624,1447031,0.422,0.564,0.428,0.426,2015-11-06
88.9774,1350108,0.422,0.566,0.428,0.428,2015-11-09
84.7764,1271181,0.416,0.556,0.43,0.428,2015-11-10
86.2995,1204691,0.418,0.562,0.428,0.428,2015-11-11
84.7167,917734,0.418,0.536,0.436,0.426,2015-11-12
89.2059,1201800,0.42,0.556,0.43,0.428,2015-11-13
88.5485,615930,0.418,0.534,0.438,0.43,2015-11-16
90.64,1021047,0.414,0.532,0.438,0.432,2015-11-17
92.3331,640870,0.416,0.524,0.442,0.432,2015-11-18
92.2235,739607,0.414,0.544,0.434,0.434,2015-11-19
92.2235,686768,0.416,0.546,0.434,0.432,2015-11-20
92.6916,322928,0.418,0.562,0.428,0.428,2015-11-23
90.9189,1144942,0.42,0.574,0.426,0.43,2015-11-24
91.8451,1143619,0.418,0.57,0.426,0.43,2015-11-25
93.0004,1565264,0.418,0.57,0.426,0.43,2015-11-26
82.6825,4705562,0.418,0.574,0.424,0.43,2015-11-27
81.4874,2636317,0.418,0.576,0.424,0.43,2015-11-30
80.1528,1508979,0.414,0.564,0.426,0.43,2015-12-01
79.4258,2684350,0.414,0.564,0.426,0.43,2015-12-02
78.2506,1931448,0.414,0.582,0.42,0.432,2015-12-03
76.8961,1200032,0.294,0.284,0.434,0.296,2015-12-04
75.8603,1368187,0.3,0.266,0.442,0.294,2015-12-07
75.9002,2184230,0.3,0.262,0.444,0.294,2015-12-08
