close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
36.1543,10848323,0.3,0.658,0.524,0.928,2015-05-01
36.1984,10204805,0.304,0.66,0.524,0.926,2015-05-04
36.0129,11721254,0.304,0.648,0.528,0.926,2015-05-05
35.9333,11906874,0.302,0.652,0.526,0.928,2015-05-06
35.9687,13834747,0.306,0.67,0.522,0.93,2015-05-07
36.2161,11144434,0.304,0.668,0.522,0.932,2015-05-08
36.1808,10113526,0.302,0.668,0.52,0.93,2015-05-11
35.9598,12384499,0.3,0.662,0.522,0.928,2015-05-12
36.278,13183745,0.298,0.664,0.522,0.93,2015-05-13
36.6757,9960964,0.298,0.668,0.52,0.93,2015-05-14
36.6933,8479028,0.298,0.668,0.52,0.93,2015-05-15
36.5166,11511687,0.302,0.672,0.522,0.934,2015-05-18
36.5078,9071997,0.294,0.67,0.52,0.934,2015-05-19
36.5431,10965231,0.294,0.68,0.516,0.934,2015-05-20
36.4371,9270925,0.296,0.678,0.518,0.934,2015-05-21
36.4194,11909499,0.296,0.672,0.52,0.934,2015-05-22
36.225,15194348,0.296,0.67,0.52,0.934,2015-05-25
36.3398,9863138,0.296,0.67,0.52,0.934,2015-05-26
36.3575,9395168,0.296,0.67,0.52,0.934,2015-05-27
36.1984,19628649,0.296,0.662,0.522,0.934,2015-05-28
36.1808,12684052,0.302,0.672,0.522,0.936,2015-05-29
36.225,11878845,0.302,0.664,0.524,0.932,2015-06-01
36.1189,8153777,0.3,0.664,0.522,0.932,2015-06-02
35.8715,10145794,0.3,0.656,0.526,0.932,2015-06-03
35.4384,15975551,0.298,0.644,0.528,0.932,2015-06-04
35.4914,14339260,0.298,0.642,0.53,0.934,2015-06-05
35.5268,10772741,0.294,0.636,0.53,0.934,2015-06-08
35.6417,11979870,0.294,0.636,0.532,0.934,2015-06-09
35.7308,11944854,0.294,0.64,0.528,0.934,2015-06-10
35.606,15568577,0.292,0.644,0.528,0.936,2015-06-11
35.2763,11364793,0.29,0.648,0.526,0.936,2015-06-12
35.7129,12517410,0.29,0.65,0.526,0.938,2015-06-15
35.8822,13898422,0.288,0.644,0.528,0.938,2015-06-16
36.2208,16314590,0.286,0.652,0.524,0.94,2015-06-17
35.9981,23550571,0.288,0.662,0.522,0.942,2015-06-18
36.0694,8775913,0.288,0.66,0.522,0.94,2015-06-19
35.9803,11094928,0.286,0.658,0.522,0.938,2015-06-22
35.811,10385088,0.286,0.658,0.522,0.938,2015-06-23
35.6595,10607592,0.288,0.648,0.526,0.938,2015-06-24
35.6417,16215596,0.288,0.654,0.524,0.938,2015-06-25
35.107,15500771,0.288,0.652,0.524,0.938,2015-06-26
34.9556,14621325,0.286,0.656,0.524,0.94,2015-06-29
35.1961,11177431,0.284,0.656,0.522,0.94,2015-06-30
35.1872,8975923,0.284,0.652,0.524,0.94,2015-07-01
35.1249,10252593,0.284,0.658,0.522,0.938,2015-07-02
35.8644,20335005,0.284,0.66,0.522,0.938,2015-07-03
35.5169,11383747,0.286,0.66,0.52,0.938,2015-07-06
35.5704,13392040,0.286,0.664,0.52,0.938,2015-07-07
35.9892,13360379,0.284,0.676,0.516,0.938,2015-07-08
36.2298,9854203,0.284,0.688,0.51,0.936,2015-07-09
