close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
134.4068,1505446,0.538,0.856,0.454,0.68,2015-05-01
134.7396,1288750,0.54,0.858,0.454,0.68,2015-05-04
133.584,1769579,0.536,0.856,0.452,0.676,2015-05-05
133.8336,1737330,0.54,0.858,0.452,0.678,2015-05-06
133.6395,2565148,0.542,0.866,0.45,0.678,2015-05-07
134.8597,1728677,0.544,0.866,0.452,0.676,2015-05-08
133.3714,1906719,0.544,0.866,0.45,0.676,2015-05-11
133.1865,1923886,0.54,0.86,0.452,0.676,2015-05-12
132.4192,2135920,0.538,0.858,0.452,0.678,2015-05-13
131.8275,3023665,0.542,0.858,0.454,0.68,2015-05-14
133.8891,2357005,0.542,0.856,0.454,0.68,2015-05-15
134.1017,1451924,0.546,0.858,0.456,0.682,2015-05-18
133.8059,1332707,0.538,0.858,0.454,0.684,2015-05-19
132.6503,1640883,0.54,0.86,0.454,0.684,2015-05-20
133.0663,1539527,0.54,0.856,0.456,0.686,2015-05-21
132.8259,1189460,0.538,0.856,0.456,0.686,2015-05-22
132.4284,2477397,0.538,0.858,0.456,0.688,2015-05-25
134.4345,2954072,0.538,0.858,0.456,0.688,2015-05-26
133.3621,3206152,0.538,0.86,0.456,0.688,2015-05-27
131.8183,3027050,0.538,0.86,0.456,0.688,2015-05-28
131.6334,2183416,0.546,0.878,0.454,0.692,2015-05-29
130.7182,1963529,0.54,0.874,0.45,0.686,2015-06-01
131.393,1858446,0.54,0.872,0.452,0.688,2015-06-02
130.0248,2898607,0.538,0.868,0.452,0.688,2015-06-03
128.2961,3203240,0.538,0.872,0.452,0.69,2015-06-04
127.6213,1879735,0.532,0.868,0.452,0.692,2015-06-05
127.612,2039068,0.53,0.862,0.454,0.694,2015-06-08
128.897,1725642,0.528,0.862,0.454,0.694,2015-06-09
128.7953,1342315,0.526,0.86,0.454,0.694,2015-06-10
128.2961,1290728,0.526,0.862,0.454,0.694,2015-06-11
126.8632,1940600,0.522,0.86,0.452,0.694,2015-06-12
127.5565,1554245,0.522,0.862,0.452,0.694,2015-06-15
128.3839,1508101,0.522,0.856,0.454,0.698,2015-06-16
129.8862,2074140,0.522,0.856,0.454,0.698,2015-06-17
129.7013,2758196,0.528,0.858,0.456,0.698,2015-06-18
129.5996,1415697,0.528,0.86,0.456,0.702,2015-06-19
129.1004,1490375,0.528,0.86,0.456,0.704,2015-06-22
127.8893,1965857,0.528,0.86,0.458,0.704,2015-06-23
127.0666,1660924,0.53,0.858,0.458,0.704,2015-06-24
127.6305,2248898,0.53,0.858,0.458,0.704,2015-06-25
125.4395,1963180,0.53,0.854,0.46,0.706,2015-06-26
124.8571,2454294,0.528,0.858,0.46,0.708,2015-06-29
126.1791,1707275,0.53,0.856,0.46,0.706,2015-06-30
126.0867,1149212,0.528,0.85,0.462,0.708,2015-07-01
125.6152,2450379,0.528,0.858,0.458,0.706,2015-07-02
129.8862,3789987,0.528,0.858,0.458,0.706,2015-07-03
129.3315,2917687,0.528,0.858,0.458,0.704,2015-07-06
128.9155,3318747,0.53,0.858,0.46,0.706,2015-07-07
131.9385,2847058,0.528,0.866,0.456,0.706,2015-07-08
133.1772,1847844,0.528,0.87,0.454,0.704,2015-07-09
133.0571,1512809,0.522,0.868,0.452,0.702,2015-07-10
132.7797,1306690,0.526,0.874,0.452,0.7,2015-07-13
133.4268,1148062,0.526,0.876,0.45,0.7,2015-07-14
133.7504,1842128,0.528,0.874,0.452,0.702,2015-07-15
134.0832,1243630,0.528,0.876,0.452,0.702,2015-07-16
133.9908,1587849,0.53,0.878,0.452,0.702,2015-07-17
135.322,1612043,0.53,0.882,0.45,0.702,2015-07-20
134.6009,1356889,0.528,0.882,0.45,0.702,2015-07-21
134.037,1272667,0.528,0.878,0.45,0.7,2015-07-22
133.3529,1431288,0.524,0.882,0.448,0.704,2015-07-23
133.6302,1376487,0.524,0.884,0.448,0.704,2015-07-24
134.3975,1840544,0.522,0.882,0.448,0.704,2015-07-27
134.3236,1392698,0.518,0.882,0.446,0.704,2015-07-28
134.3236,1386789,0.52,0.88,0.448,0.704,2015-07-29
134.5269,1328134,0.518,0.88,0.448,0.706,2015-07-30
133.8983,1315321,0.516,0.884,0.448,0.71,2015-07-31
135.7934,1687866,0.512,0.878,0.45,0.712,2015-08-03
135.3774,1947982,0.51,0.878,0.448,0.71,2015-08-04
134.2866,1229423,0.514,0.876,0.45,0.71,2015-08-05
135.2018,1072609,0.512,0.878,0.448,0.708,2015-08-06
134.869,1260686,0.526,0.884,0.448,0.7,2015-08-07
135.796,1963803,0.524,0.88,0.448,0.702,2015-08-10
134.6651,1114191,0.526,0.88,0.45,0.702,2015-08-11
135.4252,1210404,0.526,0.882,0.448,0.702,2015-08-12
135.4252,912619,0.528,0.882,0.448,0.7,2015-08-13
134.9988,1099071,0.526,0.882,0.45,0.702,2015-08-14
134.5724,1437093,0.526,0.882,0.45,0.702,2015-08-17
133.219,1785120,0.53,0.878,0.452,0.702,2015-08-18
128.8435,3611352,0.532,0.876,0.452,0.704,2015-08-19
123.263,5205772,0.532,0.876,0.454,0.704,2015-08-20
123.022,4645092,0.53,0.88,0.45,0.702,2015-08-21
128.0741,3094874,0.53,0.878,0.452,0.702,2015-08-24
129.9745,2603075,0.53,0.872,0.454,0.702,2015-08-25
129.7334,1850887,0.53,0.872,0.454,0.702,2015-08-26
129.8261,3005697,0.528,0.884,0.448,0.702,2015-08-27
128.2039,2968167,0.528,0.88,0.45,0.704,2015-08-28
130.1691,1810859,0.528,0.872,0.454,0.704,2015-08-31
130.2248,1615613,0.528,0.88,0.452,0.704,2015-09-01
128.3708,2124589,0.528,0.882,0.45,0.706,2015-09-02
131.1054,1637968,0.528,0.882,0.45,0.706,2015-09-03
129.4832,1390773,0.548,0.882,0.456,0.704,2015-09-04
129.7891,1350689,0.548,0.878,0.458,0.704,2015-09-07
130.7531,1452938,0.546,0.88,0.456,0.7,2015-09-08
130.8458,1123759,0.546,0.88,0.456,0.7,2015-09-09
132.0324,1349715,0.55,0.878,0.458,0.702,2015-09-10
133.1263,1374511,0.55,0.88,0.456,0.7,2015-09-11
132.8852,1535284,0.54,0.872,0.456,0.702,2015-09-14
131.4577,2833921,0.538,0.872,0.456,0.704,2015-09-15
132.7555,1004810,0.54,0.872,0.456,0.704,2015-09-16
132.2363,1787227,0.54,0.868,0.458,0.704,2015-09-17
134.8134,2310212,0.542,0.868,0.458,0.702,2015-09-18
134.2943,1974868,0.542,0.872,0.458,0.704,2015-09-21
134.9246,1845691,0.542,0.874,0.458,0.704,2015-09-22
133.0706,2553489,0.54,0.88,0.454,0.702,2015-09-23
133.2282,2513094,0.538,0.884,0.452,0.702,2015-09-24
134.0162,2549213,0.538,0.886,0.452,0.702,2015-09-25
134.0069,2657336,0.544,0.894,0.45,0.7,2015-09-28
135.212,2591476,0.542,0.894,0.448,0.7,2015-09-29
137.2607,2272955,0.542,0.894,0.448,0.7,2015-09-30
137.5759,2127776,0.544,0.894,0.45,0.698,2015-10-01
137.1587,2340843,0.562,0.896,0.46,0.712,2015-10-02
140.5886,2370850,0.564,0.894,0.46,0.712,2015-10-05
142.73,3715461,0.566,0.894,0.462,0.712,2015-10-06
142.4148,1200133,0.564,0.896,0.462,0.716,2015-10-07
