close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
154.27,475829,0.814,0.916,0.56,0.784,2015-05-01
153.85,506001,0.816,0.916,0.562,0.784,2015-05-04
153.47,578786,0.816,0.914,0.562,0.784,2015-05-05
152.04,626970,0.814,0.918,0.56,0.784,2015-05-06
153.84,502983,0.8,0.896,0.568,0.802,2015-05-07
154.29,487735,0.798,0.902,0.566,0.802,2015-05-08
154.27,478676,0.79,0.9,0.564,0.802,2015-05-11
153.19,374294,0.792,0.9,0.564,0.802,2015-05-12
152.13,521840,0.788,0.898,0.564,0.8,2015-05-13
149.83,1027602,0.79,0.894,0.564,0.798,2015-05-14
151.0,723068,0.788,0.886,0.568,0.798,2015-05-15
151.51,567672,0.792,0.886,0.568,0.8,2015-05-18
152.14,697245,0.784,0.886,0.566,0.8,2015-05-19
150.83,615876,0.784,0.89,0.564,0.8,2015-05-20
152.25,451333,0.784,0.888,0.564,0.8,2015-05-21
151.24,401731,0.782,0.888,0.564,0.8,2015-05-22
150.16,862042,0.782,0.89,0.564,0.802,2015-05-25
154.78,1377544,0.78,0.89,0.564,0.802,2015-05-26
156.27,2504544,0.782,0.89,0.564,0.802,2015-05-27
152.62,3789548,0.782,0.896,0.564,0.804,2015-05-28
153.87,1206959,0.796,0.91,0.564,0.808,2015-05-29
154.35,973817,0.792,0.9,0.564,0.798,2015-06-01
156.26,905274,0.79,0.902,0.562,0.798,2015-06-02
155.9,816641,0.788,0.9,0.562,0.798,2015-06-03
156.28,682601,0.788,0.904,0.562,0.798,2015-06-04
153.69,723733,0.792,0.908,0.562,0.8,2015-06-05
153.77,539354,0.79,0.908,0.56,0.798,2015-06-08
154.98,571104,0.788,0.906,0.56,0.798,2015-06-09
155.37,412569,0.79,0.906,0.56,0.798,2015-06-10
155.32,341749,0.79,0.906,0.56,0.798,2015-06-11
154.57,432996,0.786,0.906,0.558,0.798,2015-06-12
155.5,386946,0.784,0.908,0.558,0.798,2015-06-15
155.62,473928,0.784,0.906,0.558,0.8,2015-06-16
156.48,877950,0.784,0.908,0.558,0.8,2015-06-17
154.73,570554,0.784,0.906,0.56,0.802,2015-06-18
155.69,540640,0.786,0.906,0.562,0.808,2015-06-19
156.36,572820,0.786,0.908,0.564,0.814,2015-06-22
155.59,443188,0.786,0.906,0.564,0.812,2015-06-23
154.84,933559,0.786,0.908,0.564,0.816,2015-06-24
157.98,1160708,0.786,0.908,0.564,0.816,2015-06-25
153.68,634703,0.782,0.908,0.564,0.814,2015-06-26
154.45,618692,0.782,0.91,0.562,0.816,2015-06-29
155.42,701264,0.784,0.91,0.564,0.814,2015-06-30
156.23,801534,0.784,0.908,0.564,0.814,2015-07-01
157.23,734355,0.786,0.908,0.564,0.812,2015-07-02
159.42,984593,0.788,0.91,0.564,0.812,2015-07-03
158.55,1218858,0.788,0.91,0.562,0.81,2015-07-06
159.91,1430552,0.786,0.91,0.562,0.81,2015-07-07
163.11,876603,0.782,0.91,0.562,0.812,2015-07-08
166.95,983327,0.784,0.912,0.56,0.812,2015-07-09
167.0,666236,0.78,0.914,0.56,0.81,2015-07-10
168.25,731499,0.778,0.916,0.556,0.81,2015-07-13
167.32,1213252,0.778,0.918,0.556,0.81,2015-07-14
166.91,566666,0.778,0.918,0.556,0.808,2015-07-15
167.94,448025,0.778,0.92,0.556,0.81,2015-07-16
166.79,511276,0.776,0.918,0.556,0.81,2015-07-17
170.52,598526,0.774,0.92,0.554,0.81,2015-07-20
169.22,601527,0.774,0.92,0.554,0.808,2015-07-21
169.54,501115,0.776,0.918,0.556,0.81,2015-07-22
166.39,730161,0.772,0.92,0.554,0.81,2015-07-23
166.01,651994,0.772,0.918,0.554,0.81,2015-07-24
166.49,570348,0.766,0.92,0.552,0.812,2015-07-27
166.82,447370,0.768,0.918,0.554,0.812,2015-07-28
166.03,543184,0.764,0.92,0.552,0.814,2015-07-29
165.27,674931,0.762,0.918,0.554,0.814,2015-07-30
165.07,441463,0.762,0.916,0.554,0.816,2015-07-31
167.01,507683,0.762,0.916,0.554,0.814,2015-08-03
164.8,629629,0.762,0.914,0.556,0.816,2015-08-04
165.61,621748,0.764,0.914,0.556,0.816,2015-08-05
168.36,573365,0.766,0.912,0.558,0.818,2015-08-06
168.51,559665,0.766,0.914,0.556,0.818,2015-08-07
166.94,675491,0.772,0.916,0.558,0.818,2015-08-10
169.28,572242,0.776,0.918,0.558,0.818,2015-08-11
171.04,479394,0.776,0.92,0.558,0.816,2015-08-12
171.39,545722,0.77,0.92,0.556,0.818,2015-08-13
173.32,1023772,0.772,0.924,0.556,0.816,2015-08-14
172.62,739678,0.77,0.926,0.554,0.82,2015-08-17
171.3,840958,0.768,0.924,0.554,0.818,2015-08-18
162.57,1809948,0.766,0.926,0.554,0.82,2015-08-19
158.72,2739964,0.766,0.926,0.554,0.822,2015-08-20
153.26,1752877,0.768,0.928,0.554,0.822,2015-08-21
158.05,1791632,0.768,0.924,0.556,0.822,2015-08-24
160.24,2454738,0.768,0.924,0.554,0.822,2015-08-25
159.0,2919641,0.766,0.922,0.556,0.822,2015-08-26
158.09,1115182,0.768,0.924,0.556,0.826,2015-08-27
153.76,1284517,0.768,0.92,0.558,0.826,2015-08-28
158.51,1041399,0.772,0.918,0.558,0.822,2015-08-31
158.93,948851,0.774,0.922,0.558,0.822,2015-09-01
157.7,601154,0.774,0.92,0.558,0.822,2015-09-02
164.61,1156352,0.774,0.922,0.558,0.822,2015-09-03
163.4,1416643,0.774,0.922,0.556,0.82,2015-09-04
164.83,1369683,0.772,0.922,0.556,0.82,2015-09-07
165.06,632071,0.774,0.922,0.558,0.82,2015-09-08
163.0,658895,0.774,0.924,0.556,0.82,2015-09-09
164.06,767450,0.774,0.926,0.556,0.82,2015-09-10
164.72,501663,0.774,0.928,0.556,0.82,2015-09-11
168.14,1040525,0.758,0.924,0.552,0.82,2015-09-14
167.23,1583922,0.756,0.922,0.55,0.816,2015-09-15
168.69,789681,0.758,0.922,0.552,0.818,2015-09-16
165.78,593616,0.758,0.922,0.552,0.818,2015-09-17
168.1,557618,0.758,0.924,0.55,0.818,2015-09-18
168.01,541858,0.758,0.926,0.55,0.818,2015-09-21
169.15,769334,0.758,0.926,0.55,0.818,2015-09-22
164.36,948761,0.758,0.924,0.55,0.816,2015-09-23
161.71,820117,0.756,0.928,0.548,0.818,2015-09-24
163.35,752038,0.756,0.928,0.55,0.818,2015-09-25
165.59,828696,0.758,0.928,0.55,0.822,2015-09-28
165.76,930511,0.758,0.93,0.55,0.822,2015-09-29
168.04,1005999,0.758,0.93,0.55,0.822,2015-09-30
165.91,716201,0.758,0.928,0.55,0.82,2015-10-01
165.05,959026,0.758,0.928,0.55,0.82,2015-10-02
163.94,601872,0.762,0.928,0.552,0.82,2015-10-05
165.8,489995,0.764,0.93,0.552,0.822,2015-10-06
166.07,557215,0.764,0.93,0.552,0.822,2015-10-07
163.85,448155,0.764,0.924,0.554,0.824,2015-10-08
159.26,622960,0.764,0.922,0.556,0.824,2015-10-09
161.06,703219,0.764,0.922,0.556,0.824,2015-10-12
166.11,737145,0.762,0.928,0.552,0.824,2015-10-13
168.36,689904,0.762,0.928,0.554,0.824,2015-10-14
169.21,613156,0.764,0.918,0.556,0.824,2015-10-15
168.22,439050,0.764,0.916,0.558,0.828,2015-10-16
168.02,439557,0.764,0.922,0.556,0.828,2015-10-19
165.91,560067,0.764,0.926,0.556,0.83,2015-10-20
169.2,724041,0.764,0.926,0.556,0.828,2015-10-21
169.09,398292,0.76,0.928,0.552,0.826,2015-10-22
172.96,785188,0.762,0.926,0.554,0.824,2015-10-23
173.3,469656,0.762,0.922,0.554,0.824,2015-10-26
173.96,713027,0.764,0.928,0.554,0.824,2015-10-27
172.76,611205,0.764,0.928,0.554,0.826,2015-10-28
172.95,644973,0.762,0.93,0.552,0.826,2015-10-29
170.12,508288,0.758,0.93,0.55,0.824,2015-10-30
172.53,440145,0.756,0.93,0.55,0.824,2015-11-02
172.64,343061,0.76,0.926,0.552,0.824,2015-11-03
171.56,409423,0.76,0.926,0.552,0.826,2015-11-04
174.08,370605,0.758,0.922,0.554,0.826,2015-11-05
170.69,573189,0.758,0.924,0.554,0.828,2015-11-06
169.36,624658,0.758,0.922,0.554,0.828,2015-11-09
155.2,3011511,0.756,0.924,0.554,0.826,2015-11-10
159.48,1664495,0.756,0.924,0.552,0.826,2015-11-11
162.7,789856,0.756,0.922,0.554,0.826,2015-11-12
164.99,547883,0.756,0.926,0.552,0.826,2015-11-13
164.5,536731,0.756,0.912,0.556,0.824,2015-11-16
170.51,788092,0.756,0.914,0.556,0.826,2015-11-17
170.84,727061,0.756,0.92,0.554,0.826,2015-11-18
170.83,646508,0.754,0.914,0.556,0.828,2015-11-19
170.11,710692,0.754,0.914,0.556,0.828,2015-11-20
170.98,353395,0.754,0.92,0.554,0.828,2015-11-23
167.0,1823511,0.756,0.918,0.556,0.828,2015-11-24
165.83,1111290,0.756,0.916,0.556,0.828,2015-11-25
163.52,1224473,0.756,0.914,0.556,0.828,2015-11-26
163.19,2097385,0.756,0.914,0.556,0.828,2015-11-27
184.08,5251611,0.756,0.916,0.556,0.828,2015-11-30
184.24,1615776,0.75,0.914,0.552,0.822,2015-12-01
185.08,875984,0.75,0.91,0.554,0.822,2015-12-02
184.06,785753,0.752,0.91,0.554,0.822,2015-12-03
183.11,843438,0.752,0.914,0.554,0.824,2015-12-04
182.47,709387,0.744,0.926,0.552,0.838,2015-12-07
185.54,1078620,0.744,0.926,0.552,0.84,2015-12-08
185.42,853862,0.744,0.926,0.552,0.842,2015-12-09
187.27,793336,0.744,0.926,0.552,0.84,2015-12-10
185.43,778326,0.74,0.926,0.552,0.842,2015-12-11
184.94,2640749,0.738,0.92,0.552,0.84,2015-12-14
186.49,804107,0.734,0.92,0.552,0.84,2015-12-15
186.12,574288,0.732,0.918,0.55,0.84,2015-12-16
186.27,391073,0.734,0.918,0.552,0.84,2015-12-17
184.93,253117,0.738,0.918,0.552,0.838,2015-12-18
184.77,510566,0.74,0.92,0.552,0.838,2015-12-21
185.31,458074,0.736,0.922,0.552,0.84,2015-12-22
185.61,357854,0.736,0.92,0.552,0.84,2015-12-23
185.0,633765,0.736,0.92,0.552,0.838,2015-12-24
181.81,1196625,0.736,0.92,0.552,0.838,2015-12-25
182.67,567952,0.736,0.92,0.552,0.838,2015-12-28
183.21,870706,0.736,0.918,0.552,0.838,2015-12-29
182.98,1034469,0.736,0.918,0.552,0.838,2015-12-30
182.17,847551,0.736,0.918,0.552,0.838,2015-12-31
182.0,560657,0.736,0.918,0.552,0.838,2016-01-01
185.62,675419,0.736,0.918,0.552,0.838,2016-01-04
179.09,877918,0.732,0.918,0.55,0.836,2016-01-05
177.88,1606655,0.73,0.918,0.55,0.836,2016-01-06
170.45,1658360,0.73,0.92,0.548,0.836,2016-01-07
175.31,1041246,0.73,0.924,0.546,0.834,2016-01-08
174.26,1557148,0.728,0.926,0.546,0.834,2016-01-11
176.5,1213337,0.73,0.926,0.546,0.836,2016-01-12
179.73,1041381,0.73,0.928,0.546,0.836,2016-01-13
175.66,873665,0.728,0.926,0.546,0.836,2016-01-14
179.13,815474,0.726,0.924,0.546,0.836,2016-01-15
173.93,812806,0.726,0.918,0.548,0.836,2016-01-18
174.34,763730,0.732,0.918,0.55,0.836,2016-01-19
181.17,1054480,0.732,0.926,0.548,0.836,2016-01-20
180.57,748074,0.73,0.924,0.548,0.834,2016-01-21
177.03,650474,0.732,0.924,0.548,0.836,2016-01-22
173.46,1069201,0.73,0.924,0.548,0.834,2016-01-25
168.88,1295530,0.73,0.924,0.548,0.836,2016-01-26
159.71,2367486,0.724,0.92,0.546,0.836,2016-01-27
155.34,1885527,0.722,0.918,0.546,0.836,2016-01-28
151.98,1785503,0.722,0.92,0.546,0.836,2016-01-29
153.84,1439537,0.718,0.918,0.546,0.838,2016-02-01
153.31,1200733,0.72,0.918,0.548,0.838,2016-02-02
158.49,1066781,0.72,0.916,0.548,0.844,2016-02-03
159.02,971400,0.716,0.912,0.55,0.846,2016-02-04
158.92,1443793,0.718,0.908,0.552,0.844,2016-02-05
154.55,3673523,0.718,0.904,0.554,0.848,2016-02-08
150.07,2825554,0.72,0.902,0.556,0.85,2016-02-09
156.27,1571990,0.718,0.9,0.556,0.85,2016-02-10
159.17,1924192,0.73,0.902,0.56,0.85,2016-02-11
160.75,1247979,0.734,0.902,0.56,0.85,2016-02-12
164.25,1408134,0.732,0.906,0.558,0.848,2016-02-15
164.75,1205134,0.732,0.906,0.558,0.85,2016-02-16
165.19,1183070,0.73,0.902,0.56,0.85,2016-02-17
168.41,1053590,0.73,0.898,0.56,0.85,2016-02-18
168.32,776315,0.728,0.892,0.56,0.848,2016-02-19
169.38,1124432,0.73,0.888,0.564,0.848,2016-02-22
168.97,628748,0.732,0.892,0.562,0.848,2016-02-23
164.64,1238029,0.732,0.896,0.56,0.848,2016-02-24
162.96,1651951,0.736,0.894,0.562,0.844,2016-02-25
159.01,2445401,0.736,0.898,0.56,0.844,2016-02-26
163.39,3753301,0.734,0.896,0.56,0.844,2016-02-29
191.62,6130719,0.734,0.898,0.56,0.842,2016-03-01
190.02,1700095,0.734,0.892,0.562,0.842,2016-03-02
187.87,1185158,0.732,0.892,0.56,0.842,2016-03-03
190.02,936721,0.728,0.894,0.558,0.84,2016-03-04
188.01,1029297,0.73,0.892,0.56,0.842,2016-03-07
191.39,1096111,0.73,0.888,0.56,0.84,2016-03-08
192.35,1037799,0.728,0.89,0.56,0.84,2016-03-09
191.65,881850,0.728,0.888,0.56,0.842,2016-03-10
191.57,527300,0.728,0.888,0.56,0.84,2016-03-11
191.76,621177,0.762,0.894,0.578,0.868,2016-03-14
