close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
33.0627,10484012,0.262,0.542,0.462,0.668,2015-05-01
33.0061,5368820,0.266,0.548,0.46,0.664,2015-05-04
32.1575,8429026,0.27,0.542,0.464,0.662,2015-05-05
32.9071,11624998,0.36,0.488,0.502,0.634,2015-05-06
33.3078,11485914,0.36,0.504,0.494,0.63,2015-05-07
33.8453,12133628,0.36,0.518,0.49,0.63,2015-05-08
33.8688,9476986,0.358,0.516,0.49,0.628,2015-05-11
33.6331,7228308,0.356,0.522,0.486,0.628,2015-05-12
33.6686,7077590,0.354,0.512,0.49,0.628,2015-05-13
34.2405,8311424,0.358,0.514,0.49,0.628,2015-05-14
34.5525,7296860,0.358,0.52,0.488,0.63,2015-05-15
34.5477,6388074,0.36,0.528,0.488,0.632,2015-05-18
34.7273,5981538,0.348,0.516,0.488,0.632,2015-05-19
34.8644,6719652,0.348,0.522,0.486,0.632,2015-05-20
35.0015,6274166,0.35,0.532,0.482,0.63,2015-05-21
35.1764,7811118,0.35,0.528,0.486,0.632,2015-05-22
35.0866,5628026,0.35,0.532,0.482,0.63,2015-05-25
35.0677,6850216,0.35,0.534,0.482,0.63,2015-05-26
34.9495,8966694,0.35,0.538,0.48,0.63,2015-05-27
34.4106,6133436,0.35,0.534,0.482,0.63,2015-05-28
34.5005,5930504,0.356,0.546,0.48,0.63,2015-05-29
34.1743,4638266,0.356,0.532,0.484,0.63,2015-06-01
34.3114,4986930,0.354,0.532,0.486,0.632,2015-06-02
34.127,4920214,0.354,0.522,0.488,0.632,2015-06-03
33.5646,6111510,0.356,0.53,0.486,0.632,2015-06-04
33.4133,4816508,0.356,0.524,0.488,0.632,2015-06-05
33.418,5260054,0.35,0.51,0.492,0.636,2015-06-08
33.6969,5462632,0.35,0.512,0.492,0.634,2015-06-09
33.9285,4869912,0.35,0.512,0.49,0.634,2015-06-10
33.8671,3816862,0.348,0.524,0.482,0.624,2015-06-11
33.9096,6076152,0.344,0.532,0.48,0.626,2015-06-12
34.1979,6143830,0.344,0.536,0.478,0.626,2015-06-15
34.4626,10726996,0.342,0.546,0.476,0.628,2015-06-16
34.7604,17428998,0.342,0.552,0.472,0.628,2015-06-17
34.9542,8856204,0.344,0.554,0.474,0.632,2015-06-18
35.1149,5238066,0.344,0.58,0.466,0.636,2015-06-19
34.7179,7117500,0.342,0.59,0.464,0.636,2015-06-22
34.4768,6861434,0.342,0.584,0.464,0.636,2015-06-23
34.4816,10388932,0.344,0.574,0.47,0.638,2015-06-24
34.5572,17716328,0.344,0.582,0.466,0.638,2015-06-25
34.3492,6720310,0.338,0.586,0.464,0.636,2015-06-26
34.2736,7073574,0.336,0.59,0.462,0.638,2015-06-29
34.6139,6849508,0.336,0.602,0.458,0.636,2015-06-30
34.5572,3868292,0.336,0.6,0.458,0.636,2015-07-01
34.7746,5766596,0.336,0.606,0.454,0.634,2015-07-02
35.6349,9252052,0.336,0.608,0.454,0.636,2015-07-03
35.5214,7201336,0.338,0.606,0.456,0.634,2015-07-06
35.72,7666402,0.34,0.61,0.454,0.634,2015-07-07
36.0839,4920230,0.338,0.624,0.452,0.64,2015-07-08
36.3722,5120184,0.338,0.64,0.446,0.642,2015-07-09
36.1123,4073476,0.336,0.64,0.446,0.642,2015-07-10
36.2352,5212114,0.34,0.638,0.448,0.64,2015-07-13
36.481,4231765,0.34,0.638,0.448,0.638,2015-07-14
36.6039,4424553,0.342,0.63,0.45,0.638,2015-07-15
37.0293,5143538,0.34,0.632,0.45,0.64,2015-07-16
36.8307,5365372,0.342,0.636,0.448,0.638,2015-07-17
36.878,4139547,0.342,0.646,0.446,0.638,2015-07-20
36.5566,4612138,0.34,0.654,0.442,0.638,2015-07-21
36.2635,4367574,0.338,0.656,0.44,0.638,2015-07-22
36.1123,5173859,0.336,0.658,0.44,0.64,2015-07-23
36.6039,4573132,0.338,0.656,0.442,0.642,2015-07-24
36.6795,4499028,0.332,0.656,0.44,0.642,2015-07-27
36.8686,4466637,0.33,0.654,0.438,0.642,2015-07-28
37.0954,5008264,0.332,0.66,0.438,0.642,2015-07-29
37.2467,4273815,0.334,0.654,0.442,0.646,2015-07-30
36.4526,8692184,0.328,0.652,0.44,0.646,2015-07-31
36.9442,7534767,0.326,0.652,0.44,0.646,2015-08-03
36.6039,6629956,0.33,0.656,0.442,0.648,2015-08-04
35.753,9152077,0.322,0.646,0.442,0.65,2015-08-05
35.4883,8510937,0.324,0.648,0.442,0.65,2015-08-06
35.3465,6218296,0.328,0.644,0.444,0.652,2015-08-07
35.8348,9909049,0.326,0.632,0.45,0.654,2015-08-10
36.2234,6596762,0.326,0.618,0.454,0.656,2015-08-11
36.3562,4164247,0.326,0.62,0.454,0.654,2015-08-12
36.6406,4261793,0.324,0.628,0.45,0.654,2015-08-13
36.5932,4157145,0.324,0.642,0.446,0.658,2015-08-14
35.4176,8805701,0.326,0.634,0.45,0.658,2015-08-17
34.773,8090634,0.328,0.636,0.45,0.656,2015-08-18
33.114,12100049,0.33,0.632,0.452,0.66,2015-08-19
32.0143,14379912,0.33,0.616,0.458,0.658,2015-08-20
31.91,8657851,0.33,0.62,0.456,0.656,2015-08-21
33.2562,10216403,0.33,0.598,0.464,0.658,2015-08-24
