close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
15.3873,1333269,0.662,0.178,0.616,0.366,2015-05-01
15.2855,874872,0.662,0.17,0.62,0.37,2015-05-04
15.1925,653881,0.66,0.166,0.62,0.368,2015-05-05
15.1739,691681,0.66,0.162,0.622,0.368,2015-05-06
15.1646,548910,0.664,0.17,0.622,0.37,2015-05-07
15.4716,642134,0.662,0.17,0.62,0.368,2015-05-08
15.5088,496216,0.66,0.18,0.616,0.37,2015-05-11
15.4018,490586,0.66,0.184,0.614,0.37,2015-05-12
15.4809,348905,0.654,0.176,0.616,0.37,2015-05-13
15.5367,500298,0.654,0.182,0.614,0.37,2015-05-14
15.5925,390343,0.654,0.182,0.614,0.37,2015-05-15
15.7228,364541,0.656,0.184,0.614,0.37,2015-05-18
15.7786,527372,0.644,0.188,0.61,0.374,2015-05-19
15.8437,389128,0.646,0.196,0.608,0.374,2015-05-20
15.7321,398174,0.646,0.202,0.606,0.374,2015-05-21
15.9181,630938,0.646,0.196,0.61,0.376,2015-05-22
15.6856,603342,0.644,0.21,0.602,0.374,2015-05-25
16.0112,452679,0.646,0.21,0.604,0.374,2015-05-26
16.2903,656898,0.646,0.2,0.606,0.372,2015-05-27
16.0205,723961,0.642,0.214,0.6,0.372,2015-05-28
15.6483,583338,0.654,0.248,0.594,0.372,2015-05-29
15.7507,271114,0.656,0.22,0.602,0.374,2015-06-01
15.7135,504724,0.654,0.198,0.61,0.374,2015-06-02
15.7228,235442,0.654,0.202,0.608,0.374,2015-06-03
15.6483,532598,0.656,0.202,0.608,0.374,2015-06-04
15.5925,375790,0.656,0.21,0.606,0.374,2015-06-05
15.453,516477,0.652,0.2,0.608,0.37,2015-06-08
15.5832,543646,0.652,0.196,0.61,0.372,2015-06-09
15.6297,259989,0.652,0.194,0.61,0.372,2015-06-10
15.6483,373979,0.65,0.192,0.61,0.372,2015-06-11
15.6018,677172,0.656,0.19,0.612,0.372,2015-06-12
15.6763,341212,0.654,0.194,0.61,0.37,2015-06-15
15.6576,224585,0.654,0.194,0.61,0.372,2015-06-16
15.6763,312509,0.654,0.2,0.61,0.374,2015-06-17
15.6204,674417,0.652,0.194,0.612,0.376,2015-06-18
15.5832,327565,0.654,0.194,0.612,0.376,2015-06-19
15.6483,447672,0.652,0.19,0.614,0.38,2015-06-22
15.5646,515132,0.656,0.188,0.616,0.378,2015-06-23
15.4902,277545,0.656,0.186,0.616,0.38,2015-06-24
15.2111,1448179,0.654,0.188,0.614,0.38,2015-06-25
15.1646,510759,0.65,0.188,0.614,0.38,2015-06-26
15.118,699066,0.648,0.174,0.62,0.384,2015-06-29
15.0622,604426,0.652,0.182,0.618,0.382,2015-06-30
14.9971,383015,0.65,0.182,0.616,0.382,2015-07-01
