close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
292.1618,312242,0.55,0.904,0.52,0.916,2015-05-01
294.0894,444372,0.55,0.902,0.522,0.914,2015-05-04
294.2166,333121,0.548,0.904,0.52,0.914,2015-05-05
290.2734,402002,0.544,0.904,0.52,0.916,2015-05-06
291.6922,327733,0.548,0.904,0.52,0.916,2015-05-07
296.7704,503623,0.55,0.906,0.52,0.916,2015-05-08
294.8918,379039,0.55,0.904,0.52,0.916,2015-05-11
290.2832,398355,0.55,0.904,0.52,0.914,2015-05-12
291.3301,357338,0.548,0.902,0.52,0.914,2015-05-13
292.3673,314367,0.55,0.902,0.522,0.916,2015-05-14
291.0757,296475,0.55,0.898,0.522,0.916,2015-05-15
294.0111,326584,0.556,0.898,0.526,0.918,2015-05-18
294.4319,226378,0.55,0.9,0.524,0.918,2015-05-19
293.5415,302407,0.55,0.9,0.522,0.918,2015-05-20
290.8017,461705,0.554,0.9,0.524,0.918,2015-05-21
293.8448,339624,0.554,0.898,0.524,0.918,2015-05-22
291.3399,406298,0.552,0.9,0.524,0.918,2015-05-25
295.7724,565077,0.552,0.9,0.524,0.92,2015-05-26
293.61,406181,0.552,0.9,0.524,0.92,2015-05-27
291.6139,412041,0.554,0.9,0.524,0.92,2015-05-28
290.743,350585,0.558,0.914,0.52,0.918,2015-05-29
291.7998,420956,0.556,0.91,0.522,0.918,2015-06-01
292.563,525957,0.556,0.91,0.522,0.918,2015-06-02
288.835,325529,0.556,0.91,0.522,0.918,2015-06-03
289.0601,204158,0.556,0.91,0.522,0.918,2015-06-04
289.1481,499723,0.554,0.912,0.52,0.92,2015-06-05
287.2108,480942,0.548,0.91,0.518,0.92,2015-06-08
293.2577,400383,0.548,0.91,0.518,0.92,2015-06-09
294.1579,285803,0.546,0.912,0.518,0.92,2015-06-10
295.0581,324618,0.548,0.91,0.518,0.92,2015-06-11
293.0131,271796,0.542,0.912,0.516,0.92,2015-06-12
291.017,315304,0.542,0.912,0.516,0.92,2015-06-15
291.291,281042,0.54,0.912,0.516,0.92,2015-06-16
294.7841,405565,0.54,0.914,0.516,0.92,2015-06-17
296.1931,421955,0.542,0.914,0.516,0.918,2015-06-18
298.9231,416570,0.542,0.914,0.516,0.918,2015-06-19
297.6315,324294,0.54,0.914,0.514,0.918,2015-06-22
296.8585,337315,0.542,0.916,0.516,0.918,2015-06-23
297.426,459238,0.544,0.914,0.516,0.918,2015-06-24
296.428,761726,0.544,0.916,0.516,0.92,2015-06-25
285.1755,483371,0.54,0.916,0.514,0.92,2015-06-26
285.655,469463,0.54,0.914,0.514,0.92,2015-06-29
286.5552,328567,0.542,0.914,0.516,0.92,2015-06-30
289.3536,276805,0.542,0.914,0.516,0.92,2015-07-01
289.5297,374124,0.54,0.912,0.516,0.918,2015-07-02
292.5239,394076,0.54,0.914,0.514,0.918,2015-07-03
287.3673,480288,0.544,0.912,0.516,0.918,2015-07-06
289.0796,471848,0.544,0.914,0.516,0.918,2015-07-07
295.4299,407686,0.542,0.916,0.516,0.918,2015-07-08
297.6119,232121,0.544,0.914,0.516,0.92,2015-07-09
298.336,236921,0.542,0.916,0.516,0.92,2015-07-10
293.5708,467637,0.544,0.92,0.516,0.922,2015-07-13
295.6452,476287,0.544,0.916,0.516,0.92,2015-07-14
295.8604,341307,0.546,0.916,0.516,0.92,2015-07-15
296.1442,274995,0.546,0.916,0.516,0.92,2015-07-16
293.1207,297089,0.55,0.916,0.518,0.92,2015-07-17
295.1951,456349,0.55,0.918,0.518,0.92,2015-07-20
278.2186,1409884,0.548,0.916,0.516,0.92,2015-07-21
268.2088,1558398,0.546,0.916,0.516,0.92,2015-07-22
261.2519,603620,0.544,0.918,0.516,0.92,2015-07-23
264.9799,656713,0.526,0.914,0.51,0.918,2015-07-24
266.976,948454,0.524,0.908,0.512,0.918,2015-07-27
266.6433,473144,0.522,0.902,0.512,0.918,2015-07-28
269.1188,429682,0.516,0.904,0.51,0.92,2015-07-29
267.5141,420264,0.518,0.902,0.512,0.92,2015-07-30
269.8625,437876,0.514,0.902,0.512,0.922,2015-07-31
269.6276,265826,0.512,0.904,0.51,0.92,2015-08-03
263.6687,306067,0.512,0.902,0.51,0.92,2015-08-04
264.3439,372273,0.516,0.904,0.51,0.918,2015-08-05
264.4222,414920,0.518,0.904,0.51,0.914,2015-08-06
262.2206,640105,0.516,0.904,0.508,0.914,2015-08-07
263.7274,530165,0.514,0.902,0.508,0.916,2015-08-10
263.1306,297960,0.514,0.904,0.508,0.916,2015-08-11
267.8859,490045,0.514,0.902,0.51,0.914,2015-08-12
265.4789,455614,0.516,0.904,0.508,0.914,2015-08-13
267.6022,296493,0.514,0.902,0.508,0.914,2015-08-14
262.7881,295181,0.512,0.908,0.506,0.914,2015-08-17
260.8899,377827,0.518,0.904,0.51,0.916,2015-08-18
253.6394,548746,0.52,0.904,0.51,0.916,2015-08-19
241.7314,792516,0.52,0.902,0.51,0.916,2015-08-20
242.0739,672185,0.518,0.908,0.508,0.916,2015-08-21
252.2598,611734,0.518,0.906,0.51,0.916,2015-08-24
258.1502,621466,0.522,0.902,0.512,0.916,2015-08-25
256.6042,405601,0.522,0.902,0.512,0.916,2015-08-26
251.6531,479652,0.518,0.906,0.51,0.916,2015-08-27
246.9662,511426,0.518,0.906,0.51,0.918,2015-08-28
250.0093,430443,0.52,0.902,0.512,0.918,2015-08-31
251.2324,351966,0.52,0.9,0.514,0.918,2015-09-01
245.1071,436237,0.516,0.902,0.51,0.918,2015-09-02
251.976,528356,0.516,0.904,0.51,0.918,2015-09-03
246.2813,345914,0.516,0.904,0.51,0.918,2015-09-04
246.3204,382988,0.514,0.9,0.51,0.918,2015-09-07
248.1697,365867,0.512,0.902,0.51,0.918,2015-09-08
246.4868,313931,0.512,0.902,0.51,0.918,2015-09-09
250.9095,353076,0.512,0.902,0.508,0.916,2015-09-10
248.9232,318186,0.51,0.904,0.508,0.916,2015-09-11
249.8527,377334,0.516,0.898,0.512,0.92,2015-09-14
246.2422,572858,0.518,0.896,0.514,0.92,2015-09-15
250.4789,283878,0.518,0.898,0.514,0.92,2015-09-16
246.9467,437586,0.52,0.898,0.514,0.92,2015-09-17
249.3537,297123,0.52,0.896,0.514,0.92,2015-09-18
248.5513,582562,0.518,0.892,0.516,0.92,2015-09-21
253.7177,606152,0.52,0.896,0.514,0.92,2015-09-22
244.0993,636827,0.52,0.902,0.514,0.92,2015-09-23
245.7921,552079,0.52,0.906,0.512,0.92,2015-09-24
253.4046,603803,0.52,0.908,0.51,0.92,2015-09-25
256.702,635301,0.522,0.916,0.51,0.922,2015-09-28
263.5513,613510,0.52,0.912,0.51,0.922,2015-09-29
269.8331,483362,0.52,0.912,0.51,0.922,2015-09-30
269.6765,488992,0.522,0.914,0.51,0.922,2015-10-01
272.2793,457866,0.52,0.914,0.51,0.922,2015-10-02
273.3947,361085,0.612,0.912,0.54,0.922,2015-10-05
274.0895,238811,0.616,0.914,0.54,0.922,2015-10-06
272.9936,334767,0.612,0.914,0.54,0.922,2015-10-07
269.8722,319089,0.612,0.914,0.54,0.92,2015-10-08
270.7039,420473,0.612,0.912,0.54,0.92,2015-10-09
272.1912,324579,0.612,0.912,0.54,0.92,2015-10-12
272.1716,264573,0.612,0.91,0.54,0.92,2015-10-13
274.0405,315991,0.608,0.912,0.538,0.92,2015-10-14
274.9407,386103,0.61,0.91,0.54,0.922,2015-10-15
269.9897,545304,0.61,0.908,0.54,0.922,2015-10-16
288.1501,950323,0.614,0.906,0.542,0.922,2015-10-19
289.5004,758706,0.614,0.908,0.542,0.922,2015-10-20
288.5708,470805,0.62,0.908,0.546,0.922,2015-10-21
