close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
22.13,1512465,0.356,0.372,0.608,0.838,2015-05-01
21.42,1347214,0.346,0.372,0.606,0.844,2015-05-04
21.09,774411,0.346,0.34,0.616,0.844,2015-05-05
20.9,1072005,0.342,0.344,0.614,0.846,2015-05-06
20.72,1005836,0.342,0.34,0.616,0.85,2015-05-07
20.85,767065,0.346,0.338,0.62,0.852,2015-05-08
20.87,560778,0.338,0.336,0.618,0.85,2015-05-11
20.72,683187,0.336,0.34,0.616,0.852,2015-05-12
20.77,597076,0.334,0.342,0.614,0.852,2015-05-13
20.88,586905,0.334,0.342,0.614,0.852,2015-05-14
21.03,691363,0.334,0.336,0.616,0.854,2015-05-15
21.27,561837,0.34,0.342,0.618,0.854,2015-05-18
21.41,690420,0.324,0.336,0.614,0.854,2015-05-19
21.35,1457277,0.324,0.348,0.61,0.854,2015-05-20
21.39,731746,0.326,0.346,0.612,0.854,2015-05-21
21.37,506592,0.326,0.342,0.614,0.854,2015-05-22
21.43,969713,0.326,0.34,0.612,0.854,2015-05-25
21.7,1200616,0.324,0.342,0.612,0.854,2015-05-26
21.41,920605,0.322,0.346,0.61,0.856,2015-05-27
20.96,680272,0.324,0.354,0.608,0.856,2015-05-28
20.9,803752,0.328,0.356,0.61,0.86,2015-05-29
20.73,927241,0.328,0.338,0.616,0.862,2015-06-01
20.82,537620,0.328,0.336,0.618,0.862,2015-06-02
20.86,426483,0.326,0.33,0.62,0.862,2015-06-03
20.75,581113,0.326,0.336,0.616,0.86,2015-06-04
20.31,775455,0.324,0.34,0.606,0.832,2015-06-05
20.55,1066118,0.324,0.334,0.606,0.83,2015-06-08
20.45,904728,0.324,0.328,0.608,0.83,2015-06-09
20.64,549154,0.322,0.336,0.606,0.83,2015-06-10
20.38,1181122,0.322,0.324,0.61,0.83,2015-06-11
21.07,1407103,0.318,0.326,0.608,0.83,2015-06-12
20.83,755339,0.318,0.324,0.608,0.83,2015-06-15
20.74,620305,0.316,0.348,0.6,0.832,2015-06-16
21.05,841083,0.318,0.334,0.606,0.834,2015-06-17
21.2,790072,0.32,0.33,0.61,0.838,2015-06-18
21.49,1248375,0.32,0.336,0.608,0.842,2015-06-19
21.45,573458,0.316,0.344,0.606,0.842,2015-06-22
21.39,842241,0.316,0.354,0.602,0.842,2015-06-23
21.36,514050,0.318,0.35,0.604,0.844,2015-06-24
21.43,1694048,0.32,0.356,0.602,0.846,2015-06-25
20.88,857688,0.316,0.354,0.602,0.844,2015-06-26
20.91,899332,0.316,0.36,0.6,0.844,2015-06-29
20.8,1149037,0.314,0.356,0.6,0.844,2015-06-30
20.96,1032465,0.314,0.358,0.6,0.844,2015-07-01
20.56,1801319,0.316,0.346,0.602,0.838,2015-07-02
20.64,1046033,0.314,0.352,0.6,0.84,2015-07-03
20.32,1074413,0.314,0.356,0.598,0.838,2015-07-06
20.14,1187759,0.316,0.352,0.6,0.836,2015-07-07
20.79,829502,0.314,0.354,0.6,0.836,2015-07-08
20.89,779658,0.312,0.35,0.6,0.836,2015-07-09
20.87,568744,0.314,0.35,0.6,0.836,2015-07-10
20.41,754467,0.32,0.36,0.6,0.838,2015-07-13
20.5,889268,0.32,0.354,0.6,0.836,2015-07-14
20.14,1011766,0.32,0.354,0.6,0.836,2015-07-15
20.0,961983,0.32,0.34,0.606,0.838,2015-07-16
19.52,1023425,0.322,0.336,0.608,0.838,2015-07-17
19.37,1339900,0.32,0.334,0.608,0.836,2015-07-20
19.33,973567,0.318,0.34,0.604,0.836,2015-07-21
19.03,979635,0.318,0.324,0.61,0.836,2015-07-22
18.9,903248,0.344,0.324,0.62,0.84,2015-07-23
18.75,1186763,0.348,0.324,0.62,0.838,2015-07-24
19.27,916550,0.35,0.324,0.622,0.84,2015-07-27
19.82,2552724,0.348,0.32,0.622,0.838,2015-07-28
20.6,2595207,0.346,0.308,0.626,0.84,2015-07-29
20.21,2133411,0.344,0.32,0.622,0.84,2015-07-30
20.24,1227048,0.34,0.336,0.616,0.842,2015-07-31
19.87,2022873,0.408,0.438,0.59,0.798,2015-08-03
19.55,1409166,0.41,0.43,0.592,0.798,2015-08-04
19.68,1067484,0.412,0.43,0.594,0.798,2015-08-05
20.07,933620,0.414,0.418,0.598,0.8,2015-08-06
19.72,806995,0.418,0.404,0.604,0.8,2015-08-07
19.9,673984,0.418,0.414,0.602,0.8,2015-08-10
19.85,869097,0.418,0.414,0.602,0.8,2015-08-11
19.75,576798,0.418,0.408,0.602,0.796,2015-08-12
19.76,863135,0.416,0.414,0.6,0.796,2015-08-13
19.77,701256,0.418,0.416,0.6,0.796,2015-08-14
19.63,709966,0.416,0.408,0.602,0.798,2015-08-17
18.8,764364,0.416,0.402,0.604,0.798,2015-08-18
18.52,1023653,0.418,0.402,0.606,0.8,2015-08-19
18.3,1332223,0.416,0.41,0.602,0.798,2015-08-20
18.33,1597273,0.418,0.394,0.608,0.798,2015-08-21
19.02,1557467,0.418,0.4,0.606,0.798,2015-08-24
19.1,953624,0.416,0.418,0.6,0.8,2015-08-25
19.14,687926,0.416,0.426,0.596,0.798,2015-08-26
19.02,877309,0.416,0.434,0.594,0.798,2015-08-27
18.5,1201546,0.414,0.416,0.598,0.796,2015-08-28
18.39,762061,0.414,0.412,0.6,0.798,2015-08-31
18.59,728356,0.414,0.408,0.602,0.8,2015-09-01
18.59,1040732,0.416,0.418,0.6,0.8,2015-09-02
18.87,1651998,0.416,0.402,0.604,0.8,2015-09-03
18.31,1348975,0.414,0.408,0.602,0.798,2015-09-04
18.35,858474,0.414,0.42,0.598,0.798,2015-09-07
18.26,1421234,0.412,0.422,0.596,0.796,2015-09-08
18.21,993417,0.412,0.416,0.598,0.796,2015-09-09
18.17,1378589,0.418,0.404,0.604,0.796,2015-09-10
18.46,612749,0.414,0.404,0.602,0.796,2015-09-11
18.32,636758,0.414,0.386,0.608,0.796,2015-09-14
18.4,2376099,0.414,0.388,0.606,0.794,2015-09-15
18.7,1580295,0.412,0.378,0.612,0.8,2015-09-16
18.5,1860136,0.416,0.38,0.612,0.798,2015-09-17
18.05,1334860,0.416,0.378,0.612,0.798,2015-09-18
17.83,1601221,0.414,0.388,0.608,0.8,2015-09-21
17.95,1023646,0.412,0.396,0.604,0.8,2015-09-22
17.69,1243368,0.412,0.404,0.602,0.798,2015-09-23
17.87,1372421,0.412,0.394,0.606,0.798,2015-09-24
18.69,1571508,0.41,0.392,0.606,0.798,2015-09-25
18.57,1255041,0.412,0.396,0.606,0.8,2015-09-28
18.92,688793,0.412,0.406,0.602,0.798,2015-09-29
19.04,1319281,0.412,0.414,0.598,0.798,2015-09-30
19.28,931888,0.414,0.426,0.596,0.8,2015-10-01
19.44,1041449,0.414,0.426,0.596,0.8,2015-10-02
19.43,910536,0.414,0.428,0.596,0.802,2015-10-05
19.31,985502,0.276,0.434,0.548,0.802,2015-10-06
19.66,732722,0.276,0.444,0.544,0.802,2015-10-07
19.57,629273,0.276,0.442,0.546,0.804,2015-10-08
