close,volume,growthScore,multipleScore,integratedScore,financialReturnsScore,date
42.44,253107,0.18,0.434,0.544,0.882,2015-05-01
42.51,254940,0.182,0.438,0.54,0.88,2015-05-04
42.49,189741,0.182,0.426,0.546,0.88,2015-05-05
42.54,154351,0.18,0.43,0.544,0.884,2015-05-06
42.79,207826,0.178,0.436,0.542,0.886,2015-05-07
43.43,246678,0.176,0.462,0.534,0.884,2015-05-08
43.15,195518,0.178,0.472,0.53,0.884,2015-05-11
43.07,187217,0.178,0.462,0.534,0.884,2015-05-12
42.86,194144,0.178,0.452,0.536,0.886,2015-05-13
43.28,212420,0.178,0.44,0.54,0.886,2015-05-14
44.27,221937,0.178,0.446,0.54,0.886,2015-05-15
44.18,113053,0.178,0.47,0.532,0.888,2015-05-18
45.09,398346,0.178,0.464,0.534,0.888,2015-05-19
43.4,375196,0.178,0.5,0.522,0.888,2015-05-20
43.5,260184,0.176,0.466,0.532,0.888,2015-05-21
43.33,119986,0.176,0.456,0.536,0.888,2015-05-22
42.55,158345,0.178,0.454,0.538,0.888,2015-05-25
42.34,156289,0.178,0.456,0.536,0.888,2015-05-26
42.32,110064,0.178,0.456,0.536,0.888,2015-05-27
42.38,209682,0.178,0.452,0.538,0.888,2015-05-28
42.17,158626,0.182,0.472,0.534,0.892,2015-05-29
42.43,181392,0.184,0.468,0.536,0.892,2015-06-01
42.99,178383,0.184,0.47,0.536,0.892,2015-06-02
42.54,192396,0.184,0.47,0.536,0.892,2015-06-03
42.39,156856,0.18,0.478,0.532,0.892,2015-06-04
41.25,236887,0.178,0.478,0.53,0.892,2015-06-05
41.87,209244,0.174,0.468,0.532,0.892,2015-06-08
42.93,186991,0.174,0.446,0.54,0.892,2015-06-09
42.68,135952,0.174,0.454,0.538,0.892,2015-06-10
42.79,123631,0.174,0.468,0.532,0.892,2015-06-11
42.24,131281,0.174,0.464,0.534,0.892,2015-06-12
41.92,142327,0.174,0.47,0.532,0.892,2015-06-15
41.99,135572,0.174,0.466,0.532,0.892,2015-06-16
41.53,225992,0.174,0.454,0.538,0.892,2015-06-17
40.51,374098,0.174,0.454,0.536,0.892,2015-06-18
41.4,139972,0.174,0.43,0.546,0.892,2015-06-19
40.98,119916,0.172,0.42,0.488,0.714,2015-06-22
40.73,81147,0.172,0.434,0.484,0.714,2015-06-23
41.41,221816,0.174,0.432,0.486,0.716,2015-06-24
41.57,212335,0.174,0.436,0.484,0.716,2015-06-25
39.79,201160,0.172,0.45,0.48,0.716,2015-06-26
39.08,263167,0.17,0.464,0.474,0.718,2015-06-29
39.29,123218,0.17,0.43,0.486,0.716,2015-06-30
39.84,261788,0.168,0.42,0.488,0.716,2015-07-01
39.54,173544,0.166,0.422,0.486,0.712,2015-07-02
39.28,194937,0.166,0.442,0.48,0.712,2015-07-03
38.2,196216,0.166,0.448,0.476,0.712,2015-07-06
38.16,160846,0.168,0.446,0.478,0.712,2015-07-07
38.93,206470,0.17,0.448,0.478,0.712,2015-07-08
39.79,182009,0.17,0.432,0.484,0.712,2015-07-09
40.4,241770,0.17,0.436,0.482,0.712,2015-07-10
39.66,209964,0.172,0.444,0.48,0.712,2015-07-13
40.29,132895,0.17,0.456,0.474,0.71,2015-07-14
40.25,170068,0.17,0.46,0.474,0.712,2015-07-15
40.32,247923,0.174,0.464,0.474,0.712,2015-07-16
39.92,113402,0.176,0.478,0.47,0.71,2015-07-17
39.08,278877,0.178,0.488,0.466,0.71,2015-07-20
39.03,168070,0.174,0.496,0.462,0.71,2015-07-21
38.91,171382,0.17,0.49,0.464,0.71,2015-07-22
38.49,159270,0.168,0.476,0.468,0.712,2015-07-23
38.8,164551,0.168,0.48,0.466,0.712,2015-07-24
37.28,430596,0.168,0.488,0.464,0.712,2015-07-27
37.18,348124,0.168,0.476,0.466,0.71,2015-07-28
37.34,199345,0.166,0.476,0.468,0.712,2015-07-29
37.27,204000,0.198,0.442,0.482,0.69,2015-07-30
37.58,525265,0.196,0.452,0.48,0.692,2015-07-31
38.11,345716,0.194,0.444,0.482,0.694,2015-08-03
38.12,347775,0.192,0.46,0.476,0.696,2015-08-04
38.03,300776,0.19,0.464,0.474,0.694,2015-08-05
37.94,328933,0.192,0.472,0.472,0.696,2015-08-06
37.43,289980,0.192,0.484,0.468,0.698,2015-08-07
37.64,202179,0.192,0.478,0.472,0.7,2015-08-10
37.64,166098,0.186,0.462,0.476,0.7,2015-08-11
38.58,239527,0.186,0.454,0.478,0.7,2015-08-12
38.4,175155,0.186,0.446,0.48,0.702,2015-08-13
38.12,240615,0.188,0.452,0.48,0.704,2015-08-14
37.52,213579,0.19,0.474,0.474,0.704,2015-08-17
36.38,228658,0.19,0.464,0.476,0.704,2015-08-18
35.59,385473,0.192,0.462,0.478,0.706,2015-08-19
34.53,479868,0.192,0.464,0.478,0.706,2015-08-20
34.68,227572,0.192,0.45,0.482,0.706,2015-08-21
36.39,277622,0.192,0.452,0.482,0.704,2015-08-24
37.56,271135,0.19,0.448,0.482,0.704,2015-08-25
37.56,222301,0.19,0.472,0.474,0.706,2015-08-26
36.94,201478,0.19,0.494,0.468,0.706,2015-08-27
36.2,191757,0.19,0.502,0.464,0.706,2015-08-28
36.65,313874,0.188,0.492,0.468,0.708,2015-08-31
36.42,451522,0.186,0.482,0.47,0.708,2015-09-01
35.89,275756,0.188,0.476,0.474,0.708,2015-09-02
36.95,317295,0.188,0.49,0.468,0.71,2015-09-03
36.23,245723,0.188,0.472,0.476,0.708,2015-09-04
36.28,146915,0.188,0.474,0.474,0.71,2015-09-07
36.14,228220,0.188,0.474,0.474,0.708,2015-09-08
36.06,155494,0.19,0.482,0.472,0.708,2015-09-09
35.8,219308,0.19,0.478,0.472,0.708,2015-09-10
36.01,287526,0.188,0.484,0.47,0.706,2015-09-11
35.81,299574,0.186,0.468,0.474,0.708,2015-09-14
36.19,285990,0.186,0.464,0.476,0.708,2015-09-15
36.9,268574,0.186,0.456,0.48,0.708,2015-09-16
36.31,174378,0.186,0.444,0.484,0.708,2015-09-17
35.75,167748,0.188,0.438,0.486,0.708,2015-09-18
35.56,185888,0.188,0.45,0.482,0.708,2015-09-21
35.89,299972,0.186,0.482,0.47,0.708,2015-09-22
35.08,142247,0.192,0.478,0.474,0.706,2015-09-23
35.22,244198,0.192,0.47,0.476,0.708,2015-09-24
36.21,205351,0.192,0.468,0.476,0.706,2015-09-25
